col_names	OSS11A1.1.2019B	OSS11A1.2.2019B	OSS11A1.3.2019B	OSS21A1.1.2019	OSS21A1.2.2019	OSS21A1.3.2019	OSS21B1.1.2019	OSS21B1.2.2019	OSS21B1.3.2019	RIN34.1.2018	RIN34.2.2018	RIN34.3.2018	RIN35.1.2018	RIN35.2.2018	RIN35.3.2018	RIN36.1.2018	RIN37.1.2018	RIN39.1.2018	RIN39.2.2018	RIN39.3.2018	OSF43.1.2019	OSF43.2.2019	OSF43.3.2019	VFR05.1.2019	VFR05.2.2019	VFR05.3.2019	VFR32.1.2019	VFR32.2.2019	VFR32.3.2019	VFR33.1.2019	VFR33.2.2019	VFR33.3.2019	VFR34.1.2019	VFR34.2.2019	VFR34.3.2019	OSS11A1.1.2019A	OSS11A1.2.2019A	OSS11A1.3.2019A
Syndiniales class incertae sedis	4	131	86	0	24	4	0	0	0	0	0	1	0	0	6	4	0	5	3	4	3	5	4	0	0	0	3	0	0	8	0	0	4	0	6	0	0	313
Cercozoa	2177	488	282	134	773	824	8	58	43	189	674	556	493	696	1460	361	410	1139	1374	1192	353	892	726	1075	714	594	630	284	516	371	339	392	572	444	533	3125	1231	402
Retaria	102	1	0	0	57	108	0	0	0	0	4	17	22	41	50	0	0	34	37	47	7	14	14	86	62	46	0	0	0	0	0	0	16	4	29	90	7	2
Labyrinthulomycetes phylum incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	2	5	4	3	3	4	3	4	0	0	0	0	0	0	1	0	0	2	0
Peronosporomycetes phylum incertae sedis	197	23	27	2	18	111	0	0	0	0	5	7	35	12	14	0	0	20	24	24	1	7	1	52	3	18	0	6	5	2	1	14	12	5	2	266	72	2
Lobosa	0	0	0	0	3	21	0	0	0	0	14	3	4	0	9	3	0	1	2	2	1	5	1	4	1	3	7	6	1	0	3	2	6	0	5	0	0	0
Centrohelea	3	0	2	0	3	14	0	0	0	0	6	4	3	5	32	44	0	1	2	5	11	15	22	15	6	2	3	0	0	0	0	0	13	1	2	0	0	1
Apusozoa	22	10	13	3	18	53	1	1	4	20	32	18	34	23	24	28	101	17	10	25	26	106	72	99	70	109	35	10	0	14	16	9	58	44	40	33	30	9
Maxillopoda	6	181	0	2	1	4	0	0	0	0	4	0	0	5	0	0	0	1	7	1	26	0	10	4	7	41	0	0	0	0	0	0	2	0	45	0	0	0
Enoplea	99	3095	0	0	0	0	0	0	0	0	1635	9049	25692	10932	21177	0	0	166	2216	321	1733	10025	8607	3227	18799	1001	2	0	43	101	12630	5004	1334	3578	39	0	16455	3
Chromadorea	838	145	0	0	0	78	0	0	0	1	248	938	1041	1786	2015	0	1	187	69	245	1	50	26	329	179	203	0	0	1	0	0	0	180	201	181	86	655	0
Macrostomida	336	11070	13709	1861	103	134	0	30	0	0	2	0	0	6	1	0	0	3	10	6	1	0	46	3	21	0	0	0	0	0	0	0	40	0	0	0	4	10195
Polychaeta	0	0	0	0	40	19	0	0	80	0	1674	4659	691	206	24	0	0	0	0	392	1	1599	2002	91	72	1	1	9	2	18	1	0	359	1998	1859	2	0	0
Anthozoa	0	0	3	0	0	5	0	0	0	3	2	3	7	3	0	0	0	0	0	1	3	21	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Echinoidea	1156	216	441	690	38	25	0	9	0	66	3693	0	474	1879	2594	1215	223	1566	18740	3212	87	359	16	2	0	0	0	0	0	0	0	0	0	0	0	981	78	164
Phoroniformea	59	2457	1199	0	11	54	0	0	0	1	0	0	54	0	2	22	0	0	0	0	25	0	4	0	0	0	0	0	0	0	0	0	1	0	0	26	0	1508
Acoela	101	0	0	0	169	186	0	0	0	0	52	3	23	35	28	0	0	215	127	1811	143	248	209	28	37	0	8	0	0	0	0	1	166	76	326	18	3	0
Heteronemertea	0	3	1	0	15	54	0	0	0	139	2169	1460	21	22	0	5949	0	14029	825	17	6	0	1	320	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Palaeonemertea	2	0	15	0	103	608	0	0	0	0	626	251	155	0	0	5	0	42	26	97	5	2409	5120	0	0	0	0	0	0	0	0	1	0	0	12	0	18	0
Chytridiomycetes	830	1906	1632	391	2274	309	25	217	101	26	82	25	83	101	80	71	1	138	69	67	478	968	1134	2130	1609	3099	12635	9478	16254	9101	9576	9286	1499	2092	1962	2188	1050	1912
Craspedida	0	7	0	1	0	0	0	0	0	0	5	0	1	1	3	0	0	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2	0	0	0
Acanthoecida	5	3	1	1	5	0	0	0	1	0	14	9	18	35	55	14	0	53	67	211	6	18	4	19	16	4	9	1	0	9	4	13	11	6	11	0	0	1
LKM11	9	2	7	20	11	4	0	0	0	2	6	2	2	9	19	0	3	5	3	4	7	21	28	14	28	11	14	10	11	43	42	59	44	62	82	2	10	1
Carpediomonas-like organisms	0	0	0	0	0	2	0	0	0	11	6	0	0	2	1	10	2	0	5	0	1	1	25	6	0	3	0	1	0	0	0	0	0	0	0	0	0	0
Novel Apicomplexa Class 2	56	1456	1030	485	1005	5	7	75	28	60	19	12	17	41	32	0	85	24	43	32	8	6	13	106	104	52	313	202	140	280	760	314	409	485	516	71	0	1025
Novel Apicomplexa Class 1	0	3	2	0	2	0	0	1	0	1	3	1	3	1	1	0	4	2	2	6	1	1	5	8	17	5	11	2	9	8	4	5	4	4	12	15	2	1
Gregarinasina	133	73	26	9	7	77	0	4	4	21	48	44	123	82	21	8	317	99	62	102	8	48	80	182	84	154	36	9	13	8	22	24	5	7	14	0	0	7
Coccidia	83	8	9	1	13	50	0	0	5	5	12	11	12	24	20	15	20	226	28	29	17	38	61	23	13	17	96	8	13	27	20	63	53	69	90	24	3	4
Dinoflagellata incertae sedis	358	76	72	23	55	140	0	11	28	292	227	260	352	451	439	32	764	218	111	81	125	230	291	210	151	313	166	133	53	62	25	44	56	105	139	104	67	64
Spirotrichea	10	20	13	0	5	41	0	0	0	3	92	11	18	18	46	18	0	23	21	38	29	50	67	40	14	15	3	0	0	0	2	0	8	5	3	5	0	8
Heterotrichea	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	1	2	20	3	6	5	0	0	0	0	0	0	0	1	2	0	0	0
Oligohymenophorea	0	8	12	3	10	15	0	0	0	17	7	2	2	53	16	137	26	1	9	6	0	4	7	32	10	1	30	2	1	0	0	0	3	8	0	0	0	3
IN2411	1	0	0	0	3	1	0	0	0	0	4	1	4	1	28	0	0	3	6	29	2	2	4	13	0	0	0	0	0	0	0	0	0	0	0	2	2	0
Syndiniales	31	3	1	6	3	16	0	0	1	32	394	198	187	69	267	835	55	356	594	473	13	41	23	22	18	7	1	8	13	7	3	11	6	2	6	103	7	2
RM2-SGM58	0	0	1	0	0	0	0	0	0	2	8	4	0	0	0	84	0	0	0	0	3	1	6	0	0	0	0	0	0	0	0	0	3	2	5	0	0	0
Chlorarachniophyta	3	1	4	0	9	21	0	0	1	0	8	19	9	2	22	12	0	1	1	4	7	26	6	31	4	1	0	0	0	0	0	3	0	0	0	0	1	1
Granofilosea	4	0	3	0	9	2	0	0	0	8	11	6	9	14	19	1	8	8	4	7	3	7	15	22	7	6	1	0	0	8	0	0	3	0	2	15	0	9
Phytomyxea	262	29	3	1	74	220	1	2	5	24	69	41	37	38	61	0	38	146	134	217	24	90	97	59	31	15	18	3	20	5	10	27	26	41	36	269	86	6
Imbricatea	381	113	20	11	57	204	0	7	19	47	117	150	125	236	152	58	130	346	258	289	72	141	173	334	274	241	58	145	129	269	230	256	264	639	379	715	269	68
Cercozoa incertae sedis	0	0	0	0	0	0	0	0	0	0	3	1	5	1	0	15	0	10	6	13	0	0	0	6	11	1	0	0	0	0	0	0	4	1	0	0	0	0
Thecofilosea	914	356	354	78	477	662	3	35	51	704	934	1066	984	1610	1433	163	2225	1414	1050	1071	413	957	927	1029	826	1046	485	296	256	381	403	334	628	1051	879	902	507	371
JJP-2003	0	0	0	0	0	13	0	0	0	0	0	0	0	1	3	0	0	0	0	1	47	79	91	0	3	1	0	0	0	0	0	0	2	0	1	0	0	2
Basal Group T	0	0	0	0	0	5	0	0	0	0	0	0	2	2	1	0	2	6	2	6	1	1	0	1	5	0	0	0	0	0	0	0	3	2	2	0	1	0
Cercozoa_7-2.3	4	82	62	3	38	22	0	0	0	2	21	3	0	0	0	96	0	0	1	1	17	17	13	2	7	0	0	0	0	0	0	4	3	3	0	0	0	73
Novel Clade Gran-4	13	5	2	0	0	6	0	1	0	0	6	5	1	7	11	29	0	4	7	10	10	15	3	12	12	2	9	0	0	0	0	0	3	2	0	0	0	2
Metromonadea	0	5	0	0	0	18	0	0	0	0	6	4	1	4	3	5	2	10	11	7	4	11	10	22	27	42	11	11	5	0	1	8	16	14	23	0	0	1
Novel Clade 2	201	454	319	75	409	198	16	63	93	308	836	504	796	1221	397	539	889	1119	731	419	139	293	356	329	489	550	311	373	335	251	308	378	150	233	159	32	110	403
Novel Clade 12	0	5	3	0	0	0	1	4	0	7	5	10	5	30	20	0	19	4	0	0	3	5	17	3	2	7	7	2	2	12	3	35	0	4	6	0	0	3
Cercozoa_7-5.4	2	2	2	0	6	1	0	0	2	9	8	14	6	5	8	11	24	21	17	14	14	29	26	34	16	40	7	4	9	10	11	30	9	39	13	32	11	2
CCW10	881	517	309	82	636	785	6	58	144	5175	2919	1943	2411	2502	2261	1295	8243	4791	2353	2395	819	1612	2043	1126	1215	1033	479	700	936	490	884	1101	669	789	704	1879	467	423
Novel Clade Gran-3	2	25	17	5	20	6	0	1	0	2	10	10	1	6	13	59	9	3	2	4	19	24	73	8	27	2	46	0	0	19	0	2	13	2	14	0	0	17
Novel Clade Gran-6	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	28	1	0	0	1	3	4	10	29	3	0	0	0	0	0	0	0	3	2	1	0	0	2
Novel Clade 4	0	2	0	0	2	7	0	0	0	0	6	8	0	14	11	0	0	6	7	0	2	9	34	0	2	0	34	0	0	0	0	0	1	0	16	20	0	0
Novel Clade Gran-1	0	14	5	1	22	10	0	0	0	7	96	111	12	19	68	66	4	2	0	4	58	114	118	12	18	4	16	4	0	0	0	3	72	20	58	0	0	18
Haplosporida	0	0	0	0	0	0	0	0	0	5	3	0	0	11	0	0	0	0	0	0	0	0	5	0	1	0	6	1	6	0	7	0	1	1	0	0	0	0
Paradiniidae	48	10	0	0	7	99	0	0	0	4	0	1	3	7	14	0	14	9	6	2	1	1	1	8	22	11	5	8	0	6	0	4	6	4	5	349	43	3
RAD A	337	12	6	3	46	412	0	0	0	0	0	0	18	26	87	0	0	15	27	67	20	53	62	13	12	1	0	0	0	0	0	0	7	2	2	393	127	0
AT4-94	8	0	0	0	11	5	0	0	0	0	2	28	62	27	104	0	0	3	6	14	4	14	18	18	4	3	0	0	0	0	0	0	72	3	37	0	1	0
Acantharia	105	3	0	0	0	0	0	0	0	0	0	0	2	1	1	0	3	0	0	1	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	72	43	0
RAD B	75	7	1	0	76	371	0	0	0	1	5	4	9	29	72	0	0	33	31	33	11	64	60	70	23	9	0	1	0	0	0	0	53	4	57	135	13	0
Labyrinthulomycetes	160	74	36	10	74	150	1	5	9	53	210	144	149	187	203	25	489	233	259	223	77	169	171	159	122	163	38	28	45	45	47	66	75	115	67	210	126	55
Peronosporomycetes	1234	2088	1346	58	347	2205	9	44	51	89	327	411	698	439	573	860	300	1736	597	767	444	2397	1116	704	1687	907	772	604	1359	880	996	1039	438	421	466	1816	9926	877
Bicosoecida class incertae sedis	1	1	3	0	2	18	0	0	0	0	16	3	3	0	0	10	0	4	1	7	3	4	5	23	14	6	4	0	0	0	0	2	0	0	0	0	0	0
ME-Euk-FW10	2	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	6	0	3	2	2	0	9	0	0	5	0	0	1	0	1	3	0	4	0
Raphidophyceae	3	0	0	2	1	5	0	0	0	0	0	0	3	0	8	0	0	2	1	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeothamniophyceae	0	0	0	0	0	1	0	0	0	0	1	5	0	0	1	0	0	0	1	1	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Discosea	0	0	0	0	1	5	0	0	0	1	1	2	0	0	0	14	0	0	0	2	8	31	21	5	1	1	0	0	0	0	0	0	1	0	1	0	0	0
Protosporangiidae	0	0	0	0	0	3	0	0	0	0	7	1	0	1	1	0	0	0	0	0	1	4	1	2	3	0	2	1	0	0	0	0	0	0	1	0	0	0
Breviatea	1	4	5	0	1	0	0	0	0	2	8	1	3	4	2	0	21	4	0	1	8	44	12	11	9	1	0	1	0	0	2	0	9	0	19	28	0	5
Harpacticoida	660	18751	14574	1934	1177	1118	24	10	377	63	2025	405	465	812	202	19900	6	1695	1006	3412	536	31	178	127	87	0	7	1	22	16	360	2	110	106	216	121	48	11073
Enoplida	33	3	0	0	4	1	0	0	0	0	0	5	1222	669	295	0	1	493	1314	1008	94	235	2040	430	4	70	1	1	8	605	1	1	2	396	3	14	0	0
Desmodorida	455	68	0	0	684	616	0	1	0	0	40	264	1436	1994	3075	0	0	472	259	202	319	730	151	1058	1213	329	1	0	0	1	0	2	221	244	521	2505	163	0
Araeolaimida	1117	188	4	0	96	295	0	0	0	8	2	121	194	561	1427	1	0	452	674	329	160	543	767	4180	2233	520	0	1	0	32	0	0	332	100	358	768	748	2
Monhysterida	3832	410	4	3	204	1723	0	1	1	31	1974	2646	3209	6087	8456	183	0	2274	2162	2434	3042	5753	2048	8225	6622	4347	7259	25	304	6	35	25	7304	17590	20724	3311	1984	6
Chromadorida	3708	23009	17458	2685	19182	9792	600	4351	1555	8311	18918	11281	7018	7078	7458	19892	0	2060	1435	2106	3193	6232	2874	3545	873	554	1896	6888	465	428	41	4727	57	613	221	5717	207	35196
Desmoscolecida	366	24	0	0	102	79	0	0	0	0	0	0	14	23	115	0	0	155	347	252	0	4	0	21	12	26	19	0	0	0	0	0	1	0	8	560	80	0
Salpida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	18	13	0	1	0	8	1	2	0	10	0	0	6	0
Proseriata	5	0	0	0	10	234	0	0	0	0	0	48	4350	21	127	0	0	0	37	4	3517	110	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhabdocoela	2	1	0	0	0	2	0	0	1	0	441	0	50	75	0	0	0	0	9	84	0	0	0	1	0	0	0	0	0	0	0	0	2084	78	172	39	0	0
Heterobranchia	26	0	0	0	0	0	0	0	0	0	30	0	134	515	24	0	0	130	0	1217	0	0	0	0	0	1	149	0	0	0	1	0	0	0	0	7	0	0
Veneroida	19	5	0	0	15	5	0	0	0	0	88	0	0	6	0	0	0	28	391	3	1	9	0	0	0	0	0	0	0	0	0	0	0	0	4179	36	0	1
Lucinoida	0	5	0	0	0	0	0	0	1	0	45	18	121	23	12	0	0	0	0	0	1	17	0	2	29	1	0	11	0	7	9	186	42	1	0	0	0	0
Ploimida	0	5	0	0	0	0	1	0	0	4	0	3	1	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	3	0	9	23	0	0	0	0
Spionida	848	3	1	4	1254	1614	0	1	1	0	660	0	1141	2442	2602	0	0	81	692	105	7703	1264	3176	120	847	5385	67	18	624	11332	41	0	136	313	4660	1041	0	0
Terebellida	1650	504	387	1	0	3	3	10	0	0	0	0	27	19	3	0	0	2	6	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2087	0	563
Capitellida	97	492	485	4828	12909	0	251	71	43	1	1	0	0	0	0	278	88	0	74	0	0	0	1	0	0	0	591	407	210	11	42	0	2493	2812	248	0	5683	783
Phyllodocida	4035	3314	1737	0	104	1058	1	0	0	0	16	90	104	526	178	0	0	1372	336	33	5602	271	2368	2829	1864	105	0	2	0	0	0	0	41620	188	1910	827	51	2731
Sabellida	2449	25	0	0	43	1300	0	0	0	10206	2931	338	168	0	0	197	27	0	210	1	14	0	3	24	445	0	0	0	0	0	0	0	0	61	0	3299	104	0
Eunicida	0	0	0	0	0	0	0	0	0	0	0	12	1544	3248	613	0	2	4	300	0	153	0	586	13	3	251	0	38	0	0	0	0	0	174	0	0	1	0
Actiniaria (Anthozoa)	0	0	7	2	23	97	0	3	0	0	1458	0	0	9	158	2	0	1	0	7	5	55	106	304	37	8	8	11	5	0	1	1	0	0	0	0	16	6
Ceriantharia	0	0	14	33	4	0	1	2	0	0	5678	426	0	161	1469	0	0	19	50	123	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Anthoathecata	18	3	9	16	3	1	0	0	1	0	7	238	2	73	472	28	0	0	37	1	68	157	123	5	21	0	20	0	0	0	0	0	9	1	480	153	0	2
Siphonophorae	0	0	2	3	0	3	0	0	0	0	0	3	7	27	21	0	0	34	41	17	16	19	25	27	19	6	0	0	0	0	0	0	2	0	1	0	0	0
Leptothecata	16	0	0	1	9	75	0	0	1	0	41	0	10	0	13	0	0	0	0	0	49	288	24	11	0	1	0	0	0	0	0	0	2	0	2	0	25	0
Cydippida	283	5	6	23	0	1	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	389	0	4
Macrodasyida	43	0	0	0	140	348	0	0	0	0	0	0	2	0	47	0	0	0	142	0	48	616	110	1	0	0	0	0	0	0	0	0	2	0	0	311	8	0
Chaetonotida	0	0	0	0	126	172	0	0	0	0	1212	908	659	315	429	0	0	0	219	107	502	619	238	124	821	318	0	0	1	0	22	0	508	1391	2846	0	0	0
Microascales	2	45	7	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	222	56	386	576	322	0	1	0	0	0	0	3	16	23	0	0	0
Hypocreales	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	8	2	1	4	0	0	0	1	30	0	0	29	0	6	7	0	6	0	2	0	0	0	0
Eurotiales	4	0	2	1	0	0	0	0	0	0	3	0	1	2	4	4	5	7	4	4	0	0	3	3	4	4	0	0	7	5	9	11	5	0	2	0	0	0
Rhizophydiales	9	6	7	9	1	0	0	0	0	3	1	0	2	0	3	0	0	8	10	19	0	0	4	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Chytridiales	1087	224	121	36	297	453	0	16	17	65	2906	431	861	1294	1670	695	70	4161	2048	3080	179	251	374	395	319	458	198	129	158	275	267	223	251	683	940	2383	371	189
Lobulomycetales	11	0	0	1	2	43	0	0	0	0	9	8	4	4	10	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0
Stephanoecidae order incertae sedis	0	10	8	0	0	3	0	0	0	0	6	17	2	2	5	6	3	3	0	0	0	11	9	14	0	0	0	0	0	0	0	0	3	0	7	0	0	13
Oxymonadida	0	11	57	130	66	0	1	9	4	8	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	18	1	5	0	0	7	0	0	0	0	0	11
Eugregarinorida	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	6	3	0	3	1	1	1	9	1	2	0	0	0	0	0	0	0	0	0
Dinophyceae incertae sedis	2	0	0	0	0	0	0	0	0	0	5	0	0	29	13	0	0	0	0	0	0	5	0	29	1	0	0	0	0	0	0	0	1	0	4	4	0	0
Dinophysiales	2	3	0	0	16	0	0	0	1	0	0	3	14	8	11	0	0	0	2	0	0	10	0	12	7	0	0	5	0	0	0	0	5	8	0	0	0	0
D244	3	34	153	106	117	72	3	51	6	0	18	60	88	45	0	0	1	47	36	33	2	8	42	33	98	13	12	252	30	0	51	0	39	19	8	0	0	169
Hypotrichia	104	57	35	4	33	14	0	0	0	18	40	2	2	7	8	6	12	11	22	32	7	11	32	12	12	3	9	0	0	0	0	0	6	4	7	0	0	36
Oligotrichia	489	462	384	133	462	731	4	18	101	231	596	476	656	884	569	197	695	806	551	422	259	998	326	707	381	540	957	665	1390	497	772	863	265	449	461	1688	577	363
Choreotrichia	3121	2793	1468	54	1396	325	21	55	124	1128	182	313	185	403	0	54	590	106	61	81	651	760	528	4406	3345	3805	4255	398	3888	1167	4254	1716	626	1448	2015	1873	3249	1004
Scuticociliatia	36	88	89	38	51	74	0	2	0	14	84	59	133	100	200	201	32	45	65	66	23	78	78	107	97	68	10	4	1	1	0	0	42	18	60	42	5	78
Syndiniales Group II	277	103	81	22	110	69	2	12	23	53	164	152	111	146	184	25	123	103	82	67	79	148	118	190	217	174	243	144	273	235	227	259	97	136	103	356	176	93
Syndiniales Group I	414	360	236	68	284	358	3	39	54	294	961	593	657	757	682	685	1541	744	741	528	189	447	439	449	345	346	460	171	135	116	108	386	194	189	185	650	227	330
Spongomonadida	0	0	0	0	0	2	0	0	0	0	7	2	3	1	17	1	0	17	12	15	1	1	1	0	18	2	0	0	0	0	0	0	1	0	7	0	0	0
Marimonadida	252	24	30	6	91	144	0	3	13	166	797	947	1545	1265	1089	341	266	2643	2571	2640	75	215	240	230	396	293	99	102	125	125	106	137	152	148	112	184	140	35
p15D09	70	18	26	1	13	17	0	0	11	96	189	85	80	98	64	92	168	128	154	64	33	75	114	382	99	112	96	30	60	32	23	3	23	43	42	151	35	26
Novel Clade 3	0	0	4	0	6	0	0	0	0	0	5	53	13	17	14	42	1	2	2	2	11	8	1	14	8	9	10	43	107	0	36	0	1	9	10	0	0	3
Thaumatomonadida	912	212	118	27	259	996	1	8	37	197	763	883	1654	1648	2375	1024	668	9290	6414	8206	542	1501	1108	2617	1442	1403	269	270	174	223	132	169	583	727	980	2398	593	142
DSGM-50	0	0	0	0	25	64	0	0	0	0	0	0	1	0	7	0	40	1	21	0	0	0	0	45	0	0	0	3	0	45	0	0	0	22	12	0	0	0
BOLA322	332	267	245	27	198	219	5	30	71	324	2073	790	1788	2250	849	1460	1186	1229	1384	989	129	177	274	217	508	364	422	304	630	514	533	700	212	214	160	665	160	283
NIF-3A7	12	0	0	0	37	15	0	0	0	3	105	14	7	4	0	86	0	29	18	11	6	13	8	7	0	10	0	0	0	0	0	0	0	3	20	0	5	0
Vampyrellidae order incertae sedis	21	17	10	0	5	10	0	0	0	2	32	18	18	36	41	0	31	77	52	133	4	11	18	33	20	26	11	7	5	31	7	52	10	12	8	68	15	18
Glissomonadida	4	38	4	8	22	5	0	0	1	79	3	0	0	5	6	2	0	9	2	6	2	1	9	2	4	1	4	0	0	0	0	0	8	0	0	0	0	27
Chaunocanthida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	8	8	2	4	4	7	2	3	6	10	9	2	0	2	0	0	0
D2P04F01	416	88	37	2	97	358	0	2	9	63	133	86	115	141	200	117	160	182	168	189	145	367	290	115	100	99	37	26	9	26	15	49	58	29	81	836	235	27
