Rank,Taxon,Taxonpath,Avg ab,Remove_unclass,Remove_all,Comment
Leptomyxida,order,Amoebozoa;Amoebozoa (kingdom);Lobosa;Tubulinea;Leptomyxida,0.00%,FALSE,FALSE,
NETC3-I,family,Amoebozoa;Amoebozoa (kingdom);Lobosa;Tubulinea;Leptomyxida;NETC3-I,0.00%,FALSE,FALSE,
Protosporangiida,phylum,Amoebozoa;Amoebozoa (kingdom);Protosporangiida,0.00%,FALSE,FALSE,
Protosporangiidae,class,Amoebozoa;Amoebozoa (kingdom);Protosporangiida;Protosporangiidae,0.00%,FALSE,FALSE,
Protosporangium order incertae sedis,order,Amoebozoa;Amoebozoa (kingdom);Protosporangiida;Protosporangiidae;Protosporangium order incertae sedis,0.00%,FALSE,FALSE,
Protosporangium family incertae sedis,family,Amoebozoa;Amoebozoa (kingdom);Protosporangiida;Protosporangiidae;Protosporangium order incertae sedis;Protosporangium family incertae sedis,0.00%,FALSE,FALSE,
Apusozoa superkingdom incertae sedis,superkingdom,Apusozoa superkingdom incertae sedis,0.39%,FALSE,FALSE,
Apusozoa kingdom incertae sedis,kingdom,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis,0.39%,FALSE,FALSE,
Apusozoa,phylum,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa,0.39%,FALSE,FALSE,
Amastigomonas class incertae sedis,class,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Amastigomonas class incertae sedis,0.28%,FALSE,FALSE,
Amastigomonas order incertae sedis,order,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Amastigomonas class incertae sedis;Amastigomonas order incertae sedis,0.28%,FALSE,FALSE,
Amastigomonas family incertae sedis,family,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Amastigomonas class incertae sedis;Amastigomonas order incertae sedis;Amastigomonas family incertae sedis,0.28%,FALSE,FALSE,
Amastigomonas,genus,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Amastigomonas class incertae sedis;Amastigomonas order incertae sedis;Amastigomonas family incertae sedis;Amastigomonas,0.28%,FALSE,FALSE,
Amastigomonas bermudensis,species,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Amastigomonas class incertae sedis;Amastigomonas order incertae sedis;Amastigomonas family incertae sedis;Amastigomonas;Amastigomonas bermudensis,0.00%,FALSE,FALSE,
Amastigomonas mutabilis,species,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Amastigomonas class incertae sedis;Amastigomonas order incertae sedis;Amastigomonas family incertae sedis;Amastigomonas;Amastigomonas mutabilis,0.24%,FALSE,FALSE,
Ancyromonadida class incertae sedis,class,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Ancyromonadida class incertae sedis,0.00%,FALSE,FALSE,
Ancyromonadida order incertae sedis,order,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Ancyromonadida class incertae sedis;Ancyromonadida order incertae sedis,0.00%,FALSE,FALSE,
Ancyromonadida,family,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Ancyromonadida class incertae sedis;Ancyromonadida order incertae sedis;Ancyromonadida,0.00%,FALSE,FALSE,
Ancyromonas,genus,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Ancyromonadida class incertae sedis;Ancyromonadida order incertae sedis;Ancyromonadida;Ancyromonas,0.00%,FALSE,FALSE,
Apusomonas class incertae sedis,class,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Apusomonas class incertae sedis,0.04%,FALSE,FALSE,
Apusomonas order incertae sedis,order,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Apusomonas class incertae sedis;Apusomonas order incertae sedis,0.04%,FALSE,FALSE,
Apusomonas family incertae sedis,family,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Apusomonas class incertae sedis;Apusomonas order incertae sedis;Apusomonas family incertae sedis,0.04%,FALSE,FALSE,
Apusomonas,genus,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Apusomonas class incertae sedis;Apusomonas order incertae sedis;Apusomonas family incertae sedis;Apusomonas,0.04%,FALSE,FALSE,
Apusomonas proboscidea,species,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Apusomonas class incertae sedis;Apusomonas order incertae sedis;Apusomonas family incertae sedis;Apusomonas;Apusomonas proboscidea,0.04%,FALSE,FALSE,
Chelonemonas class incertae sedis,class,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Chelonemonas class incertae sedis,0.00%,FALSE,FALSE,
Chelonemonas order incertae sedis,order,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Chelonemonas class incertae sedis;Chelonemonas order incertae sedis,0.00%,FALSE,FALSE,
Chelonemonas family incertae sedis,family,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Chelonemonas class incertae sedis;Chelonemonas order incertae sedis;Chelonemonas family incertae sedis,0.00%,FALSE,FALSE,
Chelonemonas,genus,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Chelonemonas class incertae sedis;Chelonemonas order incertae sedis;Chelonemonas family incertae sedis;Chelonemonas,0.00%,FALSE,FALSE,
Chelonemonas geobuk,species,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Chelonemonas class incertae sedis;Chelonemonas order incertae sedis;Chelonemonas family incertae sedis;Chelonemonas;Chelonemonas geobuk,0.00%,FALSE,FALSE,
Rigifilida class incertae sedis,class,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Rigifilida class incertae sedis,0.00%,FALSE,FALSE,
Rigifilida,order,Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis;Apusozoa;Rigifilida class incertae sedis;Rigifilida,0.00%,FALSE,FALSE,
Archaeplastida,superkingdom,Archaeplastida,1.03%,TRUE,FALSE,
Glaucophyta kingdom incertae sedis,kingdom,Archaeplastida;Glaucophyta kingdom incertae sedis,0.03%,TRUE,TRUE,
Plantae,kingdom,Archaeplastida;Plantae,1.00%,TRUE,FALSE,
Bryophyta,phylum,Archaeplastida;Plantae;Bryophyta,0.00%,TRUE,TRUE,
Chlorophyta,phylum,Archaeplastida;Plantae;Chlorophyta,0.90%,TRUE,TRUE,
Mesostigma phylum incertae sedis,phylum,Archaeplastida;Plantae;Mesostigma phylum incertae sedis,0.00%,TRUE,TRUE,
Streptophyta,phylum,Archaeplastida;Plantae;Streptophyta,0.00%,TRUE,TRUE,
Tracheophyta,phylum,Archaeplastida;Plantae;Tracheophyta,0.00%,TRUE,TRUE,
Zygnematophyceae phylum incertae sedis,phylum,Archaeplastida;Plantae;Zygnematophyceae phylum incertae sedis,0.00%,TRUE,TRUE,
Rhodophyceae,kingdom,Archaeplastida;Rhodophyceae,0.00%,FALSE,FALSE,
Rhodellophyceae phylum incertae sedis,phylum,Archaeplastida;Rhodophyceae;Rhodellophyceae phylum incertae sedis,0.00%,FALSE,FALSE,
Rhodellophyceae,class,Archaeplastida;Rhodophyceae;Rhodellophyceae phylum incertae sedis;Rhodellophyceae,0.00%,FALSE,FALSE,
Stylonematales phylum incertae sedis,phylum,Archaeplastida;Rhodophyceae;Stylonematales phylum incertae sedis,0.00%,FALSE,FALSE,
Stylonematales class incertae sedis,class,Archaeplastida;Rhodophyceae;Stylonematales phylum incertae sedis;Stylonematales class incertae sedis,0.00%,FALSE,FALSE,
Breviatea superkingdom incertae sedis,superkingdom,Breviatea superkingdom incertae sedis,0.01%,FALSE,FALSE,
Breviatea kingdom incertae sedis,kingdom,Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis,0.01%,FALSE,FALSE,
Breviatea phylum incertae sedis,phylum,Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis;Breviatea phylum incertae sedis,0.01%,FALSE,FALSE,
Breviatea,class,Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis;Breviatea phylum incertae sedis;Breviatea,0.01%,FALSE,FALSE,
NAMAKO-2,order,Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis;Breviatea phylum incertae sedis;Breviatea;NAMAKO-2,0.00%,FALSE,FALSE,
Subulatomonas order incertae sedis,order,Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis;Breviatea phylum incertae sedis;Breviatea;Subulatomonas order incertae sedis,0.00%,FALSE,FALSE,
Subulatomonas family incertae sedis,family,Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis;Breviatea phylum incertae sedis;Breviatea;Subulatomonas order incertae sedis;Subulatomonas family incertae sedis,0.00%,FALSE,FALSE,
Subulatomonas,genus,Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis;Breviatea phylum incertae sedis;Breviatea;Subulatomonas order incertae sedis;Subulatomonas family incertae sedis;Subulatomonas,0.00%,FALSE,FALSE,
D4P07G08,superkingdom,D4P07G08,0.03%,FALSE,FALSE,
DH147-EKD10,superkingdom,DH147-EKD10,0.01%,FALSE,FALSE,
Eukaryota incertae sedis,superkingdom,Eukaryota incertae sedis,0.01%,FALSE,FALSE,
Palpitomonas kingdom incertae sedis,kingdom,Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis,0.00%,FALSE,FALSE,
Palpitomonas phylum incertae sedis,phylum,Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis;Palpitomonas phylum incertae sedis,0.00%,FALSE,FALSE,
Palpitomonas class incertae sedis,class,Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis;Palpitomonas phylum incertae sedis;Palpitomonas class incertae sedis,0.00%,FALSE,FALSE,
Palpitomonas order incertae sedis,order,Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis;Palpitomonas phylum incertae sedis;Palpitomonas class incertae sedis;Palpitomonas order incertae sedis,0.00%,FALSE,FALSE,
Palpitomonas family incertae sedis,family,Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis;Palpitomonas phylum incertae sedis;Palpitomonas class incertae sedis;Palpitomonas order incertae sedis;Palpitomonas family incertae sedis,0.00%,FALSE,FALSE,
Palpitomonas,genus,Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis;Palpitomonas phylum incertae sedis;Palpitomonas class incertae sedis;Palpitomonas order incertae sedis;Palpitomonas family incertae sedis;Palpitomonas,0.00%,FALSE,FALSE,
Excavata,superkingdom,Excavata,0.02%,TRUE,FALSE,
Discoba,kingdom,Excavata;Discoba,0.01%,FALSE,FALSE,
Diplonemea,phylum,Excavata;Discoba;Diplonemea,0.00%,FALSE,FALSE,
Rhynchopus class incertae sedis,class,Excavata;Discoba;Diplonemea;Rhynchopus class incertae sedis,0.00%,FALSE,FALSE,
Rhynchopus order incertae sedis,order,Excavata;Discoba;Diplonemea;Rhynchopus class incertae sedis;Rhynchopus order incertae sedis,0.00%,FALSE,FALSE,
Rhynchopus family incertae sedis,family,Excavata;Discoba;Diplonemea;Rhynchopus class incertae sedis;Rhynchopus order incertae sedis;Rhynchopus family incertae sedis,0.00%,FALSE,FALSE,
SCM38C39 marine group,class,Excavata;Discoba;Diplonemea;SCM38C39 marine group,0.00%,FALSE,FALSE,
Jakobida,phylum,Excavata;Discoba;Jakobida,0.01%,FALSE,FALSE,
Andalucia class incertae sedis,class,Excavata;Discoba;Jakobida;Andalucia class incertae sedis,0.01%,FALSE,FALSE,
Andalucia order incertae sedis,order,Excavata;Discoba;Jakobida;Andalucia class incertae sedis;Andalucia order incertae sedis,0.01%,FALSE,FALSE,
Andalucia family incertae sedis,family,Excavata;Discoba;Jakobida;Andalucia class incertae sedis;Andalucia order incertae sedis;Andalucia family incertae sedis,0.01%,FALSE,FALSE,
Andalucia,genus,Excavata;Discoba;Jakobida;Andalucia class incertae sedis;Andalucia order incertae sedis;Andalucia family incertae sedis;Andalucia,0.01%,FALSE,FALSE,
RM1-SGM49,class,Excavata;Discoba;Jakobida;RM1-SGM49,0.00%,FALSE,FALSE,
Metamonada,kingdom,Excavata;Metamonada,0.00%,FALSE,FALSE,
Fornicata,phylum,Excavata;Metamonada;Fornicata,0.00%,FALSE,FALSE,
Carpediomonas-like organisms,class,Excavata;Metamonada;Fornicata;Carpediomonas-like organisms,0.00%,FALSE,FALSE,
Carpediemonas order incertae sedis,order,Excavata;Metamonada;Fornicata;Carpediomonas-like organisms;Carpediemonas order incertae sedis,0.00%,FALSE,FALSE,
Carpediemonas family incertae sedis,family,Excavata;Metamonada;Fornicata;Carpediomonas-like organisms;Carpediemonas order incertae sedis;Carpediemonas family incertae sedis,0.00%,FALSE,FALSE,
Carpediemonas,genus,Excavata;Metamonada;Fornicata;Carpediomonas-like organisms;Carpediemonas order incertae sedis;Carpediemonas family incertae sedis;Carpediemonas,0.00%,FALSE,FALSE,
Carpediemonas membranifera,species,Excavata;Metamonada;Fornicata;Carpediomonas-like organisms;Carpediemonas order incertae sedis;Carpediemonas family incertae sedis;Carpediemonas;Carpediemonas membranifera,0.00%,FALSE,FALSE,
Dysnectes order incertae sedis,order,Excavata;Metamonada;Fornicata;Carpediomonas-like organisms;Dysnectes order incertae sedis,0.00%,FALSE,FALSE,
Dysnectes family incertae sedis,family,Excavata;Metamonada;Fornicata;Carpediomonas-like organisms;Dysnectes order incertae sedis;Dysnectes family incertae sedis,0.00%,FALSE,FALSE,
Dysnectes,genus,Excavata;Metamonada;Fornicata;Carpediomonas-like organisms;Dysnectes order incertae sedis;Dysnectes family incertae sedis;Dysnectes,0.00%,FALSE,FALSE,
Preaxostyla,phylum,Excavata;Metamonada;Preaxostyla,0.00%,FALSE,FALSE,
Oxymonadida class incertae sedis,class,Excavata;Metamonada;Preaxostyla;Oxymonadida class incertae sedis,0.00%,FALSE,FALSE,
Oxymonadida,order,Excavata;Metamonada;Preaxostyla;Oxymonadida class incertae sedis;Oxymonadida,0.00%,FALSE,FALSE,
Dinenympha family incertae sedis,family,Excavata;Metamonada;Preaxostyla;Oxymonadida class incertae sedis;Oxymonadida;Dinenympha family incertae sedis,0.00%,FALSE,FALSE,
Dinenympha,genus,Excavata;Metamonada;Preaxostyla;Oxymonadida class incertae sedis;Oxymonadida;Dinenympha family incertae sedis;Dinenympha,0.00%,FALSE,FALSE,
Paratrimastix class incertae sedis,class,Excavata;Metamonada;Preaxostyla;Paratrimastix class incertae sedis,0.00%,FALSE,FALSE,
Paratrimastix order incertae sedis,order,Excavata;Metamonada;Preaxostyla;Paratrimastix class incertae sedis;Paratrimastix order incertae sedis,0.00%,FALSE,FALSE,
Paratrimastix family incertae sedis,family,Excavata;Metamonada;Preaxostyla;Paratrimastix class incertae sedis;Paratrimastix order incertae sedis;Paratrimastix family incertae sedis,0.00%,FALSE,FALSE,
Paratrimastix,genus,Excavata;Metamonada;Preaxostyla;Paratrimastix class incertae sedis;Paratrimastix order incertae sedis;Paratrimastix family incertae sedis;Paratrimastix,0.00%,FALSE,FALSE,
Paratrimastix pyriformis ATCC50562,species,Excavata;Metamonada;Preaxostyla;Paratrimastix class incertae sedis;Paratrimastix order incertae sedis;Paratrimastix family incertae sedis;Paratrimastix;Paratrimastix pyriformis ATCC50562,0.00%,FALSE,FALSE,
Trimastix class incertae sedis,class,Excavata;Metamonada;Preaxostyla;Trimastix class incertae sedis,0.00%,FALSE,FALSE,
Trimastix order incertae sedis,order,Excavata;Metamonada;Preaxostyla;Trimastix class incertae sedis;Trimastix order incertae sedis,0.00%,FALSE,FALSE,
Trimastix family incertae sedis,family,Excavata;Metamonada;Preaxostyla;Trimastix class incertae sedis;Trimastix order incertae sedis;Trimastix family incertae sedis,0.00%,FALSE,FALSE,
Trimastix,genus,Excavata;Metamonada;Preaxostyla;Trimastix class incertae sedis;Trimastix order incertae sedis;Trimastix family incertae sedis;Trimastix,0.00%,FALSE,FALSE,
Hacrobia,superkingdom,Hacrobia,0.25%,FALSE,FALSE,
Centrohelida,kingdom,Hacrobia;Centrohelida,0.01%,FALSE,FALSE,
Centrohelea,phylum,Hacrobia;Centrohelida;Centrohelea,0.01%,FALSE,FALSE,
Acanthocystidae class incertae sedis,class,Hacrobia;Centrohelida;Centrohelea;Acanthocystidae class incertae sedis,0.00%,FALSE,FALSE,
Acanthocystidae order incertae sedis,order,Hacrobia;Centrohelida;Centrohelea;Acanthocystidae class incertae sedis;Acanthocystidae order incertae sedis,0.00%,FALSE,FALSE,
Acanthocystidae,family,Hacrobia;Centrohelida;Centrohelea;Acanthocystidae class incertae sedis;Acanthocystidae order incertae sedis;Acanthocystidae,0.00%,FALSE,FALSE,
Choanocystis,genus,Hacrobia;Centrohelida;Centrohelea;Acanthocystidae class incertae sedis;Acanthocystidae order incertae sedis;Acanthocystidae;Choanocystis,0.00%,FALSE,FALSE,
Pterocystis,genus,Hacrobia;Centrohelida;Centrohelea;Acanthocystidae class incertae sedis;Acanthocystidae order incertae sedis;Acanthocystidae;Pterocystis,0.00%,FALSE,FALSE,
Pterocystis tropica,species,Hacrobia;Centrohelida;Centrohelea;Acanthocystidae class incertae sedis;Acanthocystidae order incertae sedis;Acanthocystidae;Pterocystis;Pterocystis tropica,0.00%,FALSE,FALSE,
H1-10,class,Hacrobia;Centrohelida;Centrohelea;H1-10,0.00%,FALSE,FALSE,
H15-6,class,Hacrobia;Centrohelida;Centrohelea;H15-6,0.00%,FALSE,FALSE,
H26-1,class,Hacrobia;Centrohelida;Centrohelea;H26-1,0.00%,FALSE,FALSE,
Heterophryidae class incertae sedis,class,Hacrobia;Centrohelida;Centrohelea;Heterophryidae class incertae sedis,0.00%,FALSE,FALSE,
Heterophryidae order incertae sedis,order,Hacrobia;Centrohelida;Centrohelea;Heterophryidae class incertae sedis;Heterophryidae order incertae sedis,0.00%,FALSE,FALSE,
Heterophryidae,family,Hacrobia;Centrohelida;Centrohelea;Heterophryidae class incertae sedis;Heterophryidae order incertae sedis;Heterophryidae,0.00%,FALSE,FALSE,
Cryptophyta (kingdom),kingdom,Hacrobia;Cryptophyta (kingdom),0.01%,TRUE,FALSE,
Cryptophyta,phylum,Hacrobia;Cryptophyta (kingdom);Cryptophyta,0.01%,TRUE,TRUE,
Haptophyta (kingdom),kingdom,Hacrobia;Haptophyta (kingdom),0.20%,TRUE,TRUE,
Telonemia (kingdom),kingdom,Hacrobia;Telonemia (kingdom),0.02%,TRUE,TRUE,
Main genome,meta,Main genome,100.00%,TRUE,FALSE,
Eukaryota,domain,Main genome;Eukaryota,100.00%,TRUE,FALSE,
Mantamonas superkingdom incertae sedis,superkingdom,Mantamonas superkingdom incertae sedis,0.00%,FALSE,FALSE,
Mantamonas kingdom incertae sedis,kingdom,Mantamonas superkingdom incertae sedis;Mantamonas kingdom incertae sedis,0.00%,FALSE,FALSE,
Mantamonas phylum incertae sedis,phylum,Mantamonas superkingdom incertae sedis;Mantamonas kingdom incertae sedis;Mantamonas phylum incertae sedis,0.00%,FALSE,FALSE,
Mantamonas class incertae sedis,class,Mantamonas superkingdom incertae sedis;Mantamonas kingdom incertae sedis;Mantamonas phylum incertae sedis;Mantamonas class incertae sedis,0.00%,FALSE,FALSE,
Mantamonas order incertae sedis,order,Mantamonas superkingdom incertae sedis;Mantamonas kingdom incertae sedis;Mantamonas phylum incertae sedis;Mantamonas class incertae sedis;Mantamonas order incertae sedis,0.00%,FALSE,FALSE,
Mantamonas family incertae sedis,family,Mantamonas superkingdom incertae sedis;Mantamonas kingdom incertae sedis;Mantamonas phylum incertae sedis;Mantamonas class incertae sedis;Mantamonas order incertae sedis;Mantamonas family incertae sedis,0.00%,FALSE,FALSE,
Mantamonas,genus,Mantamonas superkingdom incertae sedis;Mantamonas kingdom incertae sedis;Mantamonas phylum incertae sedis;Mantamonas class incertae sedis;Mantamonas order incertae sedis;Mantamonas family incertae sedis;Mantamonas,0.00%,FALSE,FALSE,
Mantamonas plastica,species,Mantamonas superkingdom incertae sedis;Mantamonas kingdom incertae sedis;Mantamonas phylum incertae sedis;Mantamonas class incertae sedis;Mantamonas order incertae sedis;Mantamonas family incertae sedis;Mantamonas;Mantamonas plastica,0.00%,FALSE,FALSE,
NAMAKO-1,superkingdom,NAMAKO-1,0.01%,FALSE,FALSE,
Opisthokonta,superkingdom,Opisthokonta,34.98%,TRUE,FALSE,
Choanomonada,kingdom,Opisthokonta;Choanomonada,0.05%,FALSE,FALSE,
Choanoflagellida,phylum,Opisthokonta;Choanomonada;Choanoflagellida,0.05%,FALSE,FALSE,
Cryptomycota Holomycota kingdom incertae sedis,kingdom,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis,0.03%,FALSE,FALSE,
Cryptomycota,phylum,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota,0.03%,FALSE,FALSE,
LKM11,class,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;LKM11,0.02%,FALSE,FALSE,
Paramicrosporidium class incertae sedis,class,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;Paramicrosporidium class incertae sedis,0.01%,FALSE,FALSE,
Paramicrosporidium order incertae sedis,order,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;Paramicrosporidium class incertae sedis;Paramicrosporidium order incertae sedis,0.01%,FALSE,FALSE,
Paramicrosporidium family incertae sedis,family,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;Paramicrosporidium class incertae sedis;Paramicrosporidium order incertae sedis;Paramicrosporidium family incertae sedis,0.01%,FALSE,FALSE,
Paramicrosporidium,genus,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;Paramicrosporidium class incertae sedis;Paramicrosporidium order incertae sedis;Paramicrosporidium family incertae sedis;Paramicrosporidium,0.00%,FALSE,FALSE,
Rozella class incertae sedis,class,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;Rozella class incertae sedis,0.00%,FALSE,FALSE,
Rozella order incertae sedis,order,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;Rozella class incertae sedis;Rozella order incertae sedis,0.00%,FALSE,FALSE,
Rozella family incertae sedis,family,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;Rozella class incertae sedis;Rozella order incertae sedis;Rozella family incertae sedis,0.00%,FALSE,FALSE,
Rozella,genus,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;Cryptomycota;Rozella class incertae sedis;Rozella order incertae sedis;Rozella family incertae sedis;Rozella,0.00%,FALSE,FALSE,
LKM15,phylum,Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis;LKM15,0.00%,FALSE,FALSE,
Discicristoidea Holomycota kingdom incertae sedis,kingdom,Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis,0.01%,FALSE,FALSE,
Nucleariida,phylum,Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis;Nucleariida,0.01%,FALSE,FALSE,
Nucleariidae class incertae sedis,class,Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis;Nucleariida;Nucleariidae class incertae sedis,0.00%,FALSE,FALSE,
Nucleariidae order incertae sedis,order,Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis;Nucleariida;Nucleariidae class incertae sedis;Nucleariidae order incertae sedis,0.00%,FALSE,FALSE,
Nucleariidae,family,Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis;Nucleariida;Nucleariidae class incertae sedis;Nucleariidae order incertae sedis;Nucleariidae,0.00%,FALSE,FALSE,
Nuclearia,genus,Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis;Nucleariida;Nucleariidae class incertae sedis;Nucleariidae order incertae sedis;Nucleariidae;Nuclearia,0.00%,FALSE,FALSE,
