,pi
Clytia,0
Aequorea,0
Halecium,0
Lafoea,0
Mitrocomella,0
Gonionemus,0
Agalma,0
Nanomia,0
Apolemia,0
Lucernaria,0
Cyanea,1
Aurelia,0
Strongylocentrotus,0
Echinocardium,0
Spatangus,0
Brissopsis,1
Echinocyamus,0
Leptosynapta,3
Trachythyone,0
Pseudothyone,0
Thyone,0
Luidia,0
Porania,0
Ophiura,0
Ophiocten,0
Ophiopholis,0
Ophiactis,0
Amphipholis,0
Amphiura,0
Ophiothrix,0
Valvognathia,0
Mytilus,0
Modiolus,0
Dosinia,0
Timoclea,0
Arctica,0
Parvicardium,0
Acanthocardia,0
Moerella,0
Abra,0
Ennucula,0
Nucula,0
Spisula,0
Mysella,0
Phaxas,0
Hiatella,0
Yoldiella,0
Cardiomya,0
Cuspidaria,0
Thyasira,0
Lima,0
Astarte,0
Euspira,0
Cryptonatica,0
Aporrhais,0
Acteon,0
Duplicaria,3
Neptunea,0
Buccinum,0
Colus,0
Propebela,0
Doto,0
Flabellina,0
Polycera,0
Onchidoris,0
Hero,0
Epitonium,0
Retusa,0
Philine,0
Diaphana,0
Cylichna,0
Scaphander,0
Clione,0
Aplysia,0
Haliella,0
Antalis,0
Scutopus,0
Chaetoderma,0
Falcidens,0
Neochromadora,0
Cephalothrix,1
Tubulanus,0
Hubrechtella,0
Cerebratulus,0
Micrura,1
Pseudomicrura,0
Tenuilineus,0
Leucocephalonemertes,0
Oxypolia,0
Oerstedia,0
Haplopharynx,0
Cryptocotyle,0
Childia,0
Philactinoposthia,0
Actinoposthia,0
Haploposthia,0
Hallangia,0
Archaphanostoma,1
Pseudmecynostomum,0
Philomecynostomum,0
Ascoparia,0
Nemertoderma,0
Stelletta,0
Thenea,0
Hexadella,0
Clathria,0
Eurypon,0
Biemna,0
Crella,0
Asbestopluma,0
Desmoxya,0
Axinella,0
Suberites,0
Plicatellopsis,0
Polymastia,0
Priapulus,0
Synchaeta,5
Westwoodilla caecula,0
Ampelisca diadema,0
Byblis gaimardii,0
Jassa herdmani,0
Harpinia antennaria,0
Urothoe elegans,3
Megamphopus cornutus,0
Hyas coarctatus,0
Pagurus prideaux,0
Alpheus bellulus,0
Crangon allmanni,0
Praunus flexuosus,0
Natatolana borealis,0
Thysanoessa inermis,0
Eudorella emarginata,0
Evadne spinifera,0
Podon intermedius,1
Verruca stroemia,4
Ditrichocorycaeus anglicus,0
Tubificoides amplivasatus,0
Grania ovitheca,0
Grania postclitellochaeta,0
Siboglinum fiordicum,0
Owenia fusiformis,0
Galathowenia oculata,1
Euchone rosea,0
Harmothoe glabra,0
Gattyana cirrhosa,0
Nereimyra punctata,0
Nereimyra woodsholea,0
Neogyptis rosea,0
Glycera alba,0
Nephtys kersivalensis,3
Nephtys hystricis,0
Nephtys incisa,0
Pholoe baltica,0
Glycinde nordmanni,0
Sphaerodoropsis cf. philippi,0
Eumida bahusiensis,0
Eumida ockelmanni,0
Sige fusigera,0
Laetmonice filicornis,0
Pectinaria koreni,0
Pectinaria auricoma,1
Cirratulus cirratus,5
Chaetozone gibber,0
Polycirrus arcticus,0
Mugga wahrbergi,0
Anobothrus gracilis,0
Eclysippe vanelli,0
Raricirrus beryli,0
Nothria conchylega CMC02,0
Paradiopatra quadricuspis,0
Parougia eliasoni,0
Ophelina acuminata CMC02,0
Ophelina cylindricaudata,1
Prionospio dubia,0
Spiophanes bombyx,0
Spiophanes kroyeri,0
Poecilochaetus serpens,0
Aricidea laubieri,0
Levinsenia gracilis,0
Capitella capitata,4
Scoloplos armiger,0
Paramphinome jeffreysii,0
Polygordius appendiculatus,0
Caryophyllia smithii,0
Epizoanthus paxi,0
Epizoanthus paguricola,0
Edwardsia longicornis,0
Halcampa cf. duodecimcirrata,0
Pennatula phosphorea,0
Virgularia mirabilis,0
Pachycerianthus borealis,0
Hydractinia echinata,0
Ectopleura larynx,0
Sarsia princeps,0
Sarsia tubulosa,0
Merona cornucopiae,0
Corymorpha nutans,0
Euphysa aurata,1
Bougainvillia muscus,0
Plotocnide borealis,1
Eutonina indicans,0
Tima bairdii,0
Clytia languida,0
Halecium halecinum,0
Mitrocomella polydiademata,1
Agalma elegans,0
Nanomia cara,1
Cyanea capillata,0
Aurelia aurita,0
Echinocardium flavescens,1
Echinocardium cordatum,0
Spatangus purpureus,0
Brissopsis lyrifera,1
Echinocyamus pusillus,0
Trachythyone elongata,0
Pseudothyone raphanus,0
Luidia sarsi,0
Porania pulvillus,0
Ophiura ophiura,0
Ophiura sarsii,0
Ophiocten affinis,0
Ophiopholis aculeata,0
Amphiura filiformis,1
Amphiura chiajei,1
Ophiothrix fragilis,0
Valvognathia pogonostoma,0
Mytilus edulis,0
Modiolus modiolus,0
Dosinia lupinus,0
Timoclea ovata,0
Arctica islandica,0
Parvicardium minimum,0
Acanthocardia echinata,0
Moerella pygmaea,0
Abra nitida,0
Abra prismatica,0
Abra longicallus,0
Ennucula tenuis,0
Nucula nucleus,0
Nucula tumidula,0
Spisula elliptica,0
Mysella bidentata,0
Phaxas pellucidus,0
Yoldiella frigida,0
Cuspidaria cuspidata,0
Thyasira obsoleta,0
Thyasira equalis,0
Thyasira ferruginea,0
Thyasira flexuosa,0
Lima loscombi,0
Astarte borealis,0
Euspira fusca,0
Euspira nitida,0
Aporrhais pespelecani,0
Acteon tornatilis,0
Neptunea antiqua,0
Buccinum undatum,0
Doto coronata,0
Flabellina pellucida,0
Polycera quadrilineata,0
Hero formosa,0
Epitonium trevelyanum,0
Retusa umbilicata,0
Philine scabra,0
Philine indistincta,1
Diaphana minuta,0
Cylichna cylindracea,0
Scaphander lignarius,0
Clione limacina,0
Aplysia punctata,0
Antalis entalis,1
Scutopus ventrolineatus,0
Chaetoderma nitidulum,0
Falcidens crossotus,0
Tubulanus annulatus,0
Hubrechtella dubia,1
Micrura fasciolata,0
Micrura varicolor,0
Pseudomicrura afzelii,0
Tenuilineus albocinctus,0
Leucocephalonemertes aurantiaca,0
Oxypolia beaumontiana,0
Oerstedia dorsalis,0
Cryptocotyle lingua,0
Childia macroposthium,0
Actinoposthia haplovata,0
Haploposthia lactomaculata,0
Hallangia proporoides,0
Stelletta normani,0
Hexadella dedritifera,0
Eurypon clavigerum,0
Axinella infundibuliformis,0
Plicatellopsis fragilis,0
Polymastia cf. conigera AP2013,0
Priapulus caudatus,1
