Rank	Taxonpath	Taxon	DA01S	OSS04S	OSS11R	OSS11A1R	OSS21A1S	OSS22A1S	OSS11B1S	OSS21B1S	OSS22B1S	OSS11D1S	R319S	OSC08R	OSC08S	RIN34S	RIN35S	RIN36S	RIN37S	RIN38S	RIN39S	RIN40S	R220S	R313S	R314S	R315S	DA06S	DA07S	DA08S	DA09S	DA10S	DA11S	DA12S	DA13S	OSC32S	OSC16S	OSC20S	OSC30S	D19S	D02S	D22S	D23S	D27S	D28S	D29S	D03S	D30S	D31S	D33S	D35S	D05S	DP32S	BAL16S	BAL22S	BAL37S	BAL42S	BAL49S	BAL50S	BAL51S	BAL52S	BAL53S	BAL54S	BAL55S	BAL56S	R213S	R218S	OSF42S	OSF44S	OSF43S	OSF17S	VFR03S	VFR04S	VFR05S	VFR20S	VFRK01S	VFRK02S	VFRK03S	VFR32S	VFR33S	VFR34S	BRA06S	BRA07S	BRA08S	DA02S	DA03S	DA04S	DA05S	BRA16S	BRA17S	R902S	R905S	R908S	OSS11S	OSS11A1S	SG06S	SG07S	SG08S	SG09S	SG10S	SG11S	SG12S	SG13S
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	3	1	1	1	2	1	0	2	1	3	1	0	1	2	2	1	1	3	2	2	3	1	0	0	4	1	2	1	3	2	4	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	1	2	1	1	2	0	0	0	0	0	2	0	0	0	3	2	0	1	0	1	1	1	0	1	1	2	4	3	5	0	0	4	3	2	0	1	5	5	6	5	3	4	6	7
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	4	1	0	7	6	0	2	2	6	0	0	0	0	5	1	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	5	4	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
superkingdom	Main genome;Eukaryota;D4P07G08	D4P07G08	2	2	2	1	0	1	0	0	3	2	1	2	1	2	0	0	0	2	4	3	0	1	1	1	1	2	2	0	2	2	1	2	5	0	2	1	4	3	4	4	0	3	2	1	1	1	3	0	1	2	2	1	2	1	1	2	2	2	1	1	4	2	3	0	1	4	4	2	3	3	4	3	2	6	2	0	0	2	0	4	0	2	0	3	0	1	1	2	3	5	2	1	6	1	5	10	8	4	6	4
superkingdom	Main genome;Eukaryota;Apusozoa superkingdom incertae sedis	Apusozoa superkingdom incertae sedis	109	28	50	19	43	69	17	4	47	104	68	76	68	48	53	16	12	97	57	65	94	50	62	54	93	79	87	106	106	120	92	93	45	37	45	53	63	62	61	69	64	59	68	69	59	75	68	109	80	98	93	93	59	78	76	37	62	86	73	64	60	54	60	65	39	35	76	22	68	58	70	58	62	43	44	13	13	53	46	49	79	115	118	107	136	31	41	37	39	47	70	20	33	54	55	32	45	63	45	58
superkingdom	Main genome;Eukaryota;Breviatea superkingdom incertae sedis	Breviatea superkingdom incertae sedis	20	3	3	9	5	6	1	2	7	3	6	8	7	9	9	0	4	11	5	3	11	1	1	6	18	7	13	16	11	11	11	9	3	5	4	6	4	15	5	11	7	5	5	9	8	3	1	2	5	5	7	7	5	7	4	4	9	8	13	7	10	6	10	15	3	3	8	3	10	11	12	6	6	5	5	3	2	6	3	9	13	10	11	12	9	4	5	2	3	2	1	6	2	2	3	0	4	4	1	1
superkingdom	Main genome;Eukaryota;Mantamonas superkingdom incertae sedis	Mantamonas superkingdom incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia)	Metazoa (Animalia)	687	263	324	290	205	355	129	98	150	316	397	510	376	169	371	36	12	516	490	481	519	454	383	405	410	390	447	458	543	429	390	496	330	288	364	286	366	463	397	386	435	421	343	379	354	461	402	445	514	493	573	538	397	435	534	331	399	480	459	370	326	428	347	378	157	246	265	110	401	280	335	344	379	215	262	55	55	211	234	288	287	503	448	511	569	197	227	409	263	338	252	233	376	407	383	419	432	466	452	432
kingdom	Main genome;Eukaryota;Opisthokonta;Fungi	Fungi	158	49	59	61	52	62	33	20	43	97	97	96	101	78	86	24	28	145	107	105	122	55	51	67	118	110	126	134	139	131	129	140	65	48	65	62	101	103	113	105	101	106	101	104	98	127	97	103	118	125	117	117	104	105	110	81	105	126	117	104	76	111	118	118	56	65	84	28	85	75	72	82	79	62	60	43	44	74	54	71	90	123	136	132	133	41	31	71	65	56	64	42	63	82	77	72	86	89	109	81
kingdom	Main genome;Eukaryota;Opisthokonta;Choanomonada	Choanomonada	27	5	19	10	21	14	3	1	6	39	14	9	14	27	30	14	4	28	23	28	28	5	10	8	16	12	24	23	28	21	22	25	8	2	5	6	8	15	9	13	16	10	13	10	9	20	15	25	19	19	27	20	16	19	20	5	10	18	17	8	9	12	8	16	2	5	26	1	8	8	29	11	10	6	6	9	2	17	6	12	18	24	28	32	34	3	4	17	12	14	20	11	19	20	24	15	16	22	22	24
kingdom	Main genome;Eukaryota;Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis	Cryptomycota Holomycota kingdom incertae sedis	10	4	4	3	7	7	3	1	2	9	13	12	13	7	6	1	2	11	10	11	8	5	7	5	12	8	12	8	9	13	12	12	16	7	11	11	4	10	8	7	13	13	9	16	10	9	8	11	6	12	10	8	8	11	5	8	14	9	11	8	10	5	11	12	3	11	18	4	14	14	15	16	14	12	13	4	6	11	8	11	11	9	12	8	14	6	4	8	8	7	3	5	6	6	8	7	6	7	6	8
kingdom	Main genome;Eukaryota;Opisthokonta;Mesomycetozoa	Mesomycetozoa	25	5	18	7	10	14	8	1	8	21	11	10	8	15	21	6	3	20	15	18	16	10	8	14	18	13	19	23	22	18	18	18	9	5	14	12	17	14	14	15	13	9	8	18	8	21	11	15	15	15	21	12	10	16	11	8	9	16	17	7	14	11	14	15	8	6	29	4	12	17	25	13	13	13	8	9	8	21	5	19	7	13	17	19	17	10	4	6	7	4	18	9	6	7	4	6	5	5	13	5
kingdom	Main genome;Eukaryota;Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis	Discicristoidea Holomycota kingdom incertae sedis	7	1	0	2	2	3	1	0	1	4	4	4	2	4	4	2	1	6	4	9	8	0	1	1	4	5	6	3	11	8	4	6	1	0	0	0	1	5	2	0	3	2	3	2	2	5	1	5	5	8	6	7	3	5	4	1	3	6	4	3	2	2	4	3	0	0	4	0	2	2	7	1	3	0	1	0	0	3	1	2	5	7	11	10	7	1	1	5	3	3	1	2	4	3	8	6	6	7	4	6
kingdom	Main genome;Eukaryota;Opisthokonta;Mesomycetozoea	Mesomycetozoea	1	2	5	3	4	8	3	0	5	8	3	1	2	4	7	2	0	4	4	2	2	3	1	2	2	2	1	3	3	1	3	2	1	1	1	2	3	3	2	2	1	1	1	2	1	2	2	2	3	3	2	4	2	4	5	1	2	2	3	0	0	2	1	6	0	1	5	1	1	1	3	2	2	1	2	0	0	2	1	2	4	2	3	5	3	1	1	2	2	3	4	2	3	6	6	2	3	3	4	4
kingdom	Main genome;Eukaryota;Opisthokonta;Filasterea	Filasterea	4	0	2	2	1	2	1	0	2	4	2	1	0	0	0	2	0	3	1	4	4	1	0	1	5	0	2	3	2	2	4	3	1	2	2	0	1	1	0	1	1	0	1	0	0	1	1	4	2	1	4	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	2	0	1	0	2	0	0	0	0	1	0	2	0	0	1	1	3	1	4	0	0	2	1	0	2	1	1	4	2	1	2	0	7	4
kingdom	Main genome;Eukaryota;Opisthokonta;Freshwater Opisthokonta	Freshwater Opisthokonta	8	3	7	5	3	7	5	2	3	8	4	6	6	3	3	1	0	5	5	4	3	4	7	8	4	4	4	7	7	6	7	7	3	5	7	4	7	6	5	4	7	7	4	6	6	6	7	7	5	7	5	7	3	5	4	4	4	4	5	3	2	4	3	6	4	1	7	2	3	3	5	5	6	4	5	0	0	2	5	3	6	8	10	5	7	3	3	7	7	7	6	1	5	9	5	5	7	6	5	6
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	7	1	0	4	5	2	0	3	6	3	3	7	3	7	4	3	2	10	2	3	10	4	0	1	7	1	1	6	7	8	2	5	0	0	0	0	5	2	3	8	3	1	4	5	3	9	4	7	4	5	5	5	2	3	5	2	4	6	4	2	2	3	1	5	1	0	1	0	3	2	1	0	2	1	1	6	2	3	1	1	1	8	6	3	5	1	2	6	3	7	2	4	7	2	3	3	9	9	8	8
kingdom	Main genome;Eukaryota;Excavata;Metamonada	Metamonada	5	4	1	6	11	0	3	3	8	2	3	4	3	8	2	5	1	3	2	3	0	0	1	0	1	1	4	2	3	2	5	3	1	1	1	1	2	2	0	0	1	2	0	2	0	1	2	8	2	7	1	1	0	1	2	0	4	0	0	0	1	0	0	0	0	0	8	0	0	0	5	1	1	0	0	5	1	0	0	2	7	3	5	3	0	1	0	0	1	0	1	5	0	0	1	0	0	1	0	1
kingdom	Main genome;Eukaryota;Archaeplastida;Rhodophyceae	Rhodophyceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	723	264	440	379	341	452	202	101	305	583	490	464	433	404	461	92	155	675	516	537	584	350	368	381	489	413	486	536	510	515	531	492	300	275	310	307	377	462	444	477	424	377	357	421	379	516	433	554	543	561	622	569	439	449	497	380	412	481	458	396	387	357	407	429	212	237	455	146	434	343	469	378	376	285	319	245	213	336	299	362	448	515	583	536	677	243	247	344	289	369	400	248	366	471	411	384	426	431	531	473
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	1092	399	557	418	469	678	355	113	370	899	794	776	727	581	725	153	196	1001	841	875	942	616	619	588	808	708	814	972	928	919	885	869	526	481	502	546	615	641	634	658	633	650	552	649	588	779	681	788	764	838	991	913	740	778	775	579	712	803	717	712	610	646	645	719	401	438	719	230	752	636	724	631	733	474	565	266	257	610	513	529	704	911	988	982	1155	420	414	712	667	658	603	381	786	945	876	753	978	1001	1028	1022
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	555	223	347	237	263	383	208	70	215	508	464	415	387	290	392	93	114	562	439	473	489	323	388	367	433	393	446	497	480	498	472	485	283	248	308	269	384	413	386	400	393	385	357	417	354	480	384	473	463	490	489	448	365	380	392	295	365	418	392	364	317	348	340	374	210	214	374	139	375	327	367	342	341	254	314	155	157	290	281	314	382	465	525	512	621	206	212	237	260	260	361	212	248	268	268	242	279	290	294	266
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa (kingdom)	Amoebozoa (kingdom)	40	7	24	12	25	42	4	2	12	58	25	20	22	20	18	18	2	40	24	25	54	10	16	7	26	19	42	38	24	34	40	24	8	4	6	4	10	14	1	12	8	12	8	11	5	22	10	20	20	28	34	28	23	25	31	10	16	19	12	11	10	18	8	20	2	3	28	1	17	17	31	8	9	1	8	12	4	14	6	10	26	39	36	52	56	2	3	47	27	37	23	5	76	94	77	40	58	67	79	100
kingdom	Main genome;Eukaryota;Hacrobia;Centrohelida	Centrohelida	21	3	13	2	13	13	3	0	10	40	10	9	2	7	21	5	0	24	9	11	17	0	4	7	8	6	8	14	14	12	6	12	3	2	1	4	8	13	1	10	13	5	8	6	4	13	9	21	19	26	20	16	6	4	11	1	4	6	9	1	1	2	1	10	0	1	17	0	4	7	15	4	3	0	1	2	0	13	0	3	9	22	16	24	28	3	0	9	6	6	19	2	9	19	14	7	10	15	16	10
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis	Palpitomonas kingdom incertae sedis	1	1	0	1	2	0	0	2	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
kingdom	Main genome;Eukaryota;Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis	Apusozoa kingdom incertae sedis	109	28	50	19	43	69	17	4	47	104	68	76	68	48	53	16	12	97	57	65	94	50	62	54	93	79	87	106	106	120	92	93	45	37	45	53	63	62	61	69	64	59	68	69	59	75	68	109	80	98	93	93	59	78	76	37	62	86	73	64	60	54	60	65	39	35	76	22	68	58	70	58	62	43	44	13	13	53	46	49	79	115	118	107	136	31	41	37	39	47	70	20	33	54	55	32	45	63	45	58
kingdom	Main genome;Eukaryota;Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis	Breviatea kingdom incertae sedis	20	3	3	9	5	6	1	2	7	3	6	8	7	9	9	0	4	11	5	3	11	1	1	6	18	7	13	16	11	11	11	9	3	5	4	6	4	15	5	11	7	5	5	9	8	3	1	2	5	5	7	7	5	7	4	4	9	8	13	7	10	6	10	15	3	3	8	3	10	11	12	6	6	5	5	3	2	6	3	9	13	10	11	12	9	4	5	2	3	2	1	6	2	2	3	0	4	4	1	1
kingdom	Main genome;Eukaryota;Mantamonas superkingdom incertae sedis;Mantamonas kingdom incertae sedis	Mantamonas kingdom incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Arthropoda	Arthropoda	73	31	62	26	34	39	15	69	34	35	39	28	13	15	19	11	1	27	31	30	33	31	41	50	14	22	18	24	33	23	29	32	32	22	19	23	29	39	37	26	41	25	27	22	28	49	45	57	57	53	32	42	27	23	36	18	19	22	24	12	19	21	31	38	7	11	29	9	27	15	19	30	20	20	15	4	7	18	18	17	26	70	27	41	35	11	15	26	5	27	49	19	22	27	19	21	30	26	33	14
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Nematoda	Nematoda	468	140	98	165	49	138	45	10	38	128	211	332	226	88	230	3	2	346	324	327	316	309	187	225	279	269	316	318	380	304	266	344	168	151	221	158	233	288	220	237	268	272	217	237	235	262	230	258	296	304	370	349	262	288	351	241	270	335	319	255	231	298	216	241	95	154	128	59	255	175	217	218	246	144	171	25	25	114	145	175	144	313	304	328	351	133	135	275	191	182	77	141	239	258	247	265	262	269	262	282
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Chordata	Chordata	1	1	4	1	0	3	3	0	2	2	3	1	1	1	3	0	0	2	3	3	2	2	2	2	0	1	2	1	1	1	1	1	2	2	3	0	0	0	1	2	1	0	1	1	0	2	1	2	3	0	6	3	1	3	0	3	5	4	3	1	3	2	2	2	2	1	1	0	3	2	4	3	2	2	4	2	1	2	2	3	6	1	2	1	1	0	0	0	0	0	3	3	4	2	3	4	3	8	6	3
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes	Platyhelminthes	27	19	30	20	18	37	10	3	11	29	32	32	23	3	12	1	1	24	19	16	28	22	27	33	26	22	16	19	25	20	15	16	24	22	27	24	17	27	20	19	23	21	16	20	14	25	19	17	28	18	22	21	18	18	14	4	21	18	17	23	16	16	14	13	11	15	8	5	12	18	12	15	23	11	11	3	1	6	15	15	10	24	18	26	31	10	18	18	17	20	23	10	19	21	10	19	18	14	21	27
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Mollusca	Mollusca	11	3	14	7	7	8	3	2	2	6	5	12	7	6	7	1	0	7	12	6	8	7	13	7	3	4	8	5	6	6	4	5	10	6	6	5	8	4	9	6	5	8	7	8	6	9	5	8	7	12	6	6	5	5	11	5	5	4	5	5	2	8	9	4	2	4	4	3	9	11	5	7	9	2	6	2	4	4	0	12	12	4	4	9	9	2	2	9	3	13	5	7	4	5	4	10	5	7	5	6
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Rotifera	Rotifera	1	2	3	2	0	3	0	1	2	1	0	0	0	3	2	0	0	0	1	0	1	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	2	2	4	3	1	2	1	4	0	1	1	3	2	2	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	2	3	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Annelida	Annelida	35	30	26	30	30	38	26	7	18	24	24	38	34	14	36	6	3	28	24	32	42	29	47	26	25	21	26	23	28	18	23	31	26	27	28	29	22	27	27	24	29	22	21	22	16	30	21	18	36	34	37	35	28	28	34	21	23	28	33	26	11	30	25	23	15	22	37	7	42	38	34	30	35	14	24	8	9	28	27	27	39	20	25	26	46	19	29	36	20	47	22	22	27	38	35	37	39	49	42	40
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Cnidaria	Cnidaria	19	6	16	12	13	10	8	5	11	24	20	15	17	12	17	4	0	18	9	13	14	7	12	7	16	11	18	16	13	12	12	14	10	10	10	8	11	7	9	7	7	14	9	12	8	14	8	14	11	12	16	11	8	13	14	8	12	10	12	8	9	7	6	10	5	12	13	4	11	10	16	10	10	4	6	3	1	11	4	10	17	14	14	17	19	3	4	10	5	8	15	8	8	13	12	13	11	12	10	10
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Echinodermata	Echinodermata	4	2	6	5	3	8	3	1	1	1	6	3	5	5	10	4	3	5	22	9	10	2	3	3	2	3	4	7	8	4	4	4	7	2	1	2	4	4	8	10	6	12	9	1	5	8	13	9	16	7	19	15	13	8	17	4	4	12	5	10	4	11	9	7	2	2	4	1	3	3	3	2	4	2	3	1	0	1	2	4	5	5	3	4	3	1	1	2	1	1	6	1	2	1	5	2	1	4	1	2
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Brachiopoda	Brachiopoda	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Tardigrada	Tardigrada	1	1	3	1	1	1	1	0	0	1	2	2	2	0	3	0	0	0	0	1	1	0	2	3	0	0	0	0	0	0	0	0	0	1	3	1	1	0	1	1	2	1	1	1	1	1	1	2	2	2	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	2	1	0	3	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	2	1	0	1	0	1	1	0	1	1
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Porifera	Porifera	0	1	2	0	1	1	0	0	1	3	1	1	0	0	0	2	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	6	3	3	2	0	11	16	14	14	16	22	23	11
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Hemichordata	Hemichordata	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	1	0	2	2	2	0	0	0	2	1	2	3	0	0	2	4	1	0	0	0	1	3	3	3	2	4	2	1	1	4	2	3	4	3	5	4	1	4	4	2	2	2	3	3	3	1	2	1	0	0	0	1	3	1	2	3	4	0	1	0	0	0	1	0	9	5	4	4	3	0	1	2	1	2	0	0	2	2	1	2	5	3	2	2
