"","NSI","piMetals","pi","piHC"
"Discosea (Amoebozoa (kingdom))",0,0,0,0
"LEMD255",0,0,0,0
"Centrohelea",61.71,0,0,0
"Palpitomonas phylum incertae sedis",0,0,0,0
"Apusozoa",74.15,0,0,0
"Breviatea phylum incertae sedis",0,0,0,0
"Mantamonas phylum incertae sedis",0,0,0,0
"Maxillopoda",0,79.11,76.11,75.48
"Malacostraca",0,0,0,0
"Branchiopoda",41.03,0,0,0
"Ostracoda",0,0,0,0
"Enoplea",0,0,0,0
"Chromadorea",71.96,84.44,87.08,89.25
"Ascidiacea",74.71,0,0,0
"Thaliacea",0,0,0,0
"Catenulida",0,0,0,0
"Cestoda",0,0,0,0
"Seriata",0,0,0,0
"Trematoda",0,0,0,0
"Macrostomida",0,0,0,0
"Rhabdocoela class incertae sedis",0,0,0,0
"Haplopharyngida class incertae sedis",0,0,0,0
"Lecithoepitheliata class incertae sedis",0,0,0,0
"Prolecithophora class incertae sedis",0,0,0,0
"Gastropoda",0,0,0,0
"Bivalvia",0,0,0,0
"Polyplacophora",0,0,0,0
"Scaphopoda",0,0,0,0
"Caudofoveata",0,0,0,0
"Protobranchia",0,0,0,0
"Monogononta",0,0,0,0
"Polychaeta",0,0,0,0
"Oligochaeta order incertae sedis",0,0,0,0
"Anthozoa",0,0,0,69.48
"Hydrozoa",96.34,0,0,0
"Myxosporea",0,0,0,0
"Scyphozoa",0,0,0,0
"Echinoidea",89.5,68.57,0,0
"Holothuroidea",0,0,0,0
"Asteroidea",0,0,0,37.07
"Ophiuroidea",64.47,88.55,67.85,67.36
"Phoroniformea",0,0,0,0
"Rhynchonellata",0,0,0,0
"Heterotardigrada",0,0,0,0
"Demospongiae",74.99,0,0,0
"Calcarea",86.3,0,0,0
"Enteropneusta",0,0,0,0
"Gymnolaemata",0,0,0,0
"Stenolaemata",0,0,0,0
"Typhlocoela",0,0,0,0
"Priapulidae class incertae sedis",0,0,0,0
"Acoela",89.27,71.5,73.2,88.84
"Nemertodermatida",0,0,0,0
"Homalorhagida class incertae sedis",0,0,0,0
"Cyclorhagida class incertae sedis",0,0,0,0
"Enopla",0,0,0,0
"Heteronemertea",0,0,0,0
"Palaeonemertea",0,0,70,79.49
"Macrodasyida class incertae sedis",0,0,0,0
"Chaetonotida class incertae sedis",0,0,0,0
"Sagittoidea",0,0,0,0
"Bursovaginoidea class incertae sedis",0,0,0,0
"Coloniales class incertae sedis",0,0,0,0
"Rhopaluridae class incertae sedis",0,0,0,0
"Sordariomycetes",0,0,0,0
"Dothideomycetes",0,0,0,0
"Leotiomycetes",55.51,0,0,0
"Eurotiomycetes",0,0,0,0
"Pezizomycetes",0,0,0,0
"Microbotryomycetes",0,0,0,0
"Tremellomycetes",0,0,0,0
"Ustilaginomycetes",0,0,0,0
"Exobasidiomycetes",0,0,0,0
"Blastocladiomycetes",0,0,0,0
"Chytridiomycetes",87.94,86.01,85,80.81
"Monoblepharidomycetes",0,0,0,0
"Zoopagales class incertae sedis",0,0,0,0
"Harpellales class incertae sedis",0,0,0,0
"Mucorales class incertae sedis",0,0,0,0
"Basidiobolaceae class incertae sedis",0,0,0,0
"Craspedida",0,0,0,0
"Acanthoecida",91.62,67.82,0,0
"Clade L",0,0,18.03,34.16
"LKM11",0,0,0,0
"Rozella class incertae sedis",0,0,0,0
"Paramicrosporidium class incertae sedis",0,0,0,0
"Freshwater Ichthyosporeans 1",0,0,0,0
"Pirum class incertae sedis",0,0,0,0
"Nucleariidae class incertae sedis",0,0,0,0
"Dermocystida class incertae sedis",0,0,0,0
"Ministeridae",0,0,0,0
"Capsasporidae",0,0,0,38
"RM1-SGM49",74.68,60.43,62.72,64.51
"Andalucia class incertae sedis",0,0,0,0
"SCM38C39 marine group",0,0,0,0
"Rhynchopus class incertae sedis",0,0,0,0
"Carpediomonas-like organisms",0,0,0,0
"Oxymonadida class incertae sedis",0,0,0,0
"Trimastix class incertae sedis",0,0,0,0
"Paratrimastix class incertae sedis",0,0,0,0
"Stylonematales class incertae sedis",0,0,0,0
"Rhodellophyceae",0,0,0,0
"Aconoidasida",0,0,0,0
"Novel Apicomplexa Class 2",0,81.56,86.76,0
"Novel Apicomplexa Class 1",89.8,0,0,0
"Gregarinasina",0,0,0,0
"Cryptosporida",0,0,0,0
"Coccidia",76.36,0,0,74.77
"Dinophyceae",0,0,0,0
"Dinoflagellata incertae sedis",0,68.6,63.59,0
"SCM28C5",0,0,0,0
"SCM28C1",0,0,0,0
"Spirotrichea",85.95,77.91,78.07,82.53
"Litostomatea",0,0,0,0
"Armophorea",0,0,0,0
"Heterotrichea",0,0,0,0
"Oligohymenophorea",80.63,0,0,0
"Prostomatea",0,0,0,0
"Colpodea",0,0,0,0
"Plagiopylea",0,0,0,0
"Phyllopharyngea",0,0,0,0
"Nassophorea",0,0,0,0
"IN2411",0,72.55,74.23,82.65
"Colponema class incertae sedis",0,0,0,0
"Chromera class incertae sedis",0,0,0,0
"Syndiniales",0,86.26,0,0
"RM2-SGM58",0,0,0,0
"Chlorarachniophyta",87.76,0,0,0
"Granofilosea",83.94,0,0,0
"Phytomyxea",0,77.55,81.66,77.84
"Imbricatea",0,0,0,0
"Cercozoa incertae sedis",49.24,0,0,0
"Thecofilosea",0,0,0,0
"JJP-2003",0,0,0,0
"Basal Group T",74.24,0,0,0
"7-2.3",0,0,0,0
"Novel Clade Gran-4",64.83,0,0,0
"Metromonadea",0,0,0,0
"Novel Clade 2",0,61,0,0
"Novel Clade 12",0,0,0,0
"7-5.4",0,72.05,69.64,68.8
"N-Por",72.54,0,0,0
"CCW10",0,66.64,76.96,0
"Novel Clade Gran-3",0,0,0,0
"Novel Clade 10",0,0,0,0
"Novel Clade Gran-6",0,0,0,0
"Novel Clade 4",0,0,0,0
"Novel Clade Gran-1",0,0,76.61,78.53
"Novel Clade Gran-5",0,0,0,0
"Vampyrellidae class incertae sedis",0,0,0,0
"Cercomonadidae class incertae sedis",0,0,0,0
"Glissomonadida class incertae sedis",0,0,0,0
"Haplosporida",56.13,0,0,0
"Paradiniidae",85.6,92.48,0,0
"RAD A",67.58,0,0,69.3
"Polycystinea",0,0,0,0
"AT4-94",0,0,0,0
"Acantharia",81.83,0,0,0
"RAD B",73.61,0,0,0
"RAD C",0,0,0,0
"Labyrinthulomycetes",81.2,75.45,79.18,64.69
"Peronosporomycetes",81.44,0,0,0
"Bicosoecida class incertae sedis",0,75.11,72.78,70.82
"Hyphochytriomycetes",0,0,0,0
"Coscinodiscophytina",0,0,0,0
"ME-Euk-FW10",0,0,77.31,73.97
"Bacillariophyceae",0,0,0,0
"Chrysophyceae",0,0,0,0
"Raphidophyceae",73.01,0,74.02,75.32
"Phaeothamniophyceae",0,0,0,0
"Bolidomonas class incertae sedis",0,0,0,0
"Discosea",95.96,0,0,0
"Tubulinea",78.51,0,0,51.73
"Protosporangiidae",0,0,0,0
"Centramoebida",67.87,0,0,53.62
"H15-6",0,0,0,0
"H1-10",0,0,0,0
"H26-1",0,0,0,0
"Acanthocystidae class incertae sedis",0,0,0,0
"Heterophryidae class incertae sedis",0,0,0,0
"Palpitomonas class incertae sedis",0,0,0,0
"Amastigomonas class incertae sedis",0,0,0,0
"Rigifilida class incertae sedis",0,0,0,0
"Chelonemonas class incertae sedis",0,0,0,0
"Ancyromonadida class incertae sedis",0,0,0,0
"Apusomonas class incertae sedis",0,0,0,0
"Breviatea",0,0,0,0
"Mantamonas class incertae sedis",0,0,0,0
"Sessilia",0,0,0,0
"Monstrilloida",0,0,0,0
"Harpacticoida",0,0,0,0
"Tantulocarida",0,0,0,0
"Eucarida",0,0,0,0
"Peracarida",65.72,0,0,34.2
"Eumalacostraca",0,0,0,0
"Diplostraca",0,0,0,0
"Podocopida",0,0,0,0
"Myodocopida",0,0,0,0
"Mermithida",0,0,0,0
"Triplonchida",61.82,51.71,61.56,79.65
"Enoplida",96,92.36,96.5,89.35
"Spirurida",0,0,0,0
"Ascaridida",0,0,0,0
"Desmodorida",0,71.31,79.59,79.11
"Araeolaimida",89.7,0,0,93.97
"Monhysterida",0,0,0,0
"Chromadorida",0,64.21,0,0
"Desmoscolecida",80.83,0,0,89.74
"Enterogona",0,0,0,0
"Stolidobranchia",0,0,0,0
"Salpida",42.35,52.48,45.23,41.91
"Catenulidae order incertae sedis",83.94,0,41.01,44
"Trypanorhyncha",0,0,0,0
"Tetraphyllidea",0,0,0,0
"Proseriata",0,0,0,0
"Plagiorchiida",0,0,0,0
"Azygiida",0,0,0,0
"Prosorhynchoides order incertae sedis",0,0,0,0
"Rhabdocoela",0,0,0,0
"Haplopharyngida",0,0,0,0
"Lecithoepitheliata",0,0,0,0
"Prolecithophora",0,0,0,0
"Heterobranchia",0,60.73,62.8,0
"Caenogastropoda",0,0,0,0
"Veneroida",0,0,0,0
"Myoida",0,0,0,0
"Lucinoida",0,0,0,0
"Nuculanoida",66.49,0,0,0
"Pectinoida",0,63.63,63.63,38.92
"Mytiloida",0,44.27,0,0
"Arcoida",0,0,0,0
"Veneroida (Heteroconchia)",0,48.99,38.49,30.18
"Pholadomyoida",0,0,0,0
"Neoloricata",0,0,0,0
"Dentaliida",0,0,0,0
"Gadilida",70.81,0,0,0
"Chaetodermatida",0,0,0,0
"Nuculoida",0,0,0,0
"Ploimida",0,50.55,0,0
"Flosculariacea",0,0,0,0
"Spionida",81.43,0,0,0
"Terebellida",0,0,0,0
"Protodrilus order incertae sedis",0,0,0,0
"Capitellida",0,71.7,72.86,94.2
"Dinophilida",0,0,0,0
"Opheliidae order incertae sedis",0,0,0,0
"Orbiniidae order incertae sedis",0,0,0,0
"Paraonidae order incertae sedis",0,0,0,0
"Phyllodocida",0,0,0,0
"Sabellida",0,0,0,0
"Eunicida",0,0,0,0
"Palpata Incertae Sedis",49.79,0,0,0
"Flabelligerida",0,0,0,0
"Golfingiida",78.75,0,0,0
"Echiuroinea",0,0,0,0
"Haplotaxida",0,0,0,43.9
"Actiniaria (Anthozoa)",0,78.8,78.77,0
"Zoantharia",0,0,0,0
"Ceriantharia",0,56.55,0,0
"Alcyonacea",0,0,0,0
"Pennatulacea",0,0,0,0
"Anthoathecata",0,0,0,0
"Siphonophorae",85.64,72.56,80.36,89.37
"Limnomedusae",0,0,0,0
"Leptothecata",0,0,0,0
"Trachymedusae",0,0,0,0
"Narcomedusae (Hydrozoa)",0,0,0,0
"Bivalvulida",0,0,0,0
"Semaeostomeae",0,0,46.91,58.14
"Coronatae",0,0,0,0
"Stauromedusae",0,0,0,0
"Terebratulida",0,0,0,0
"Haplosclerida",0,0,0,0
"Tetractinellida",0,0,0,0
"Poecilosclerida",0,0,0,0
"Suberitida",0,0,0,0
"Bubarida",0,0,0,0
"Axinellida",0,0,0,0
"Biemnida",0,0,0,0
"Verongiida",0,0,0,0
"Tethyida",0,0,0,0
"Leucosolenida",0,0,0,0
"Clathrinida",0,0,0,0
"Harrimaniidae order incertae sedis",0,0,0,0
"Ptychoderidae order incertae sedis",0,0,0,0
"Ctenostomatida",0,0,0,0
"Cheilostomatida",82.66,0,0,0
"Cyclostomatida",0,0,0,0
"Tubuliporida",0,0,0,0
"Cydippida",0,0,0,0
"Priapulidae order incertae sedis",0,0,0,0
"Nemertodermatidae order incertae sedis",45.27,48.4,52.77,0
"Homalorhagida",0,0,0,0
"Cyclorhagida",32.96,0,0,25.84
"Monostilifera",83.13,77.1,78.97,81.51
"Hoplonemertea",0,0,0,0
"Macrodasyida",0,0,0,0
"Chaetonotida",81.13,0,0,0
"Aphragmophora",0,31.36,34.69,38.02
"Phragmophora",0,0,0,0
"Bursovaginoidea",0,0,0,0
"Coloniales",0,0,0,0
"Rhopaluridae order incertae sedis",0,0,0,0
"Microascales",48.06,64.15,57.88,0
"Hypocreales",55.76,0,0,0
"Sordariomycetes incertae sedis",0,0,0,0
"Sordariales",0,0,0,0
"Xylariales",0,0,0,0
"Boliniales",0,0,0,0
"Pleosporales",0,0,0,0
"Helotiales",0,0,0,0
"Eurotiales",91.11,0,0,0
"Chaetothyriales",56.43,0,0,0
"Arachnomycetales",0,0,0,0
"Pezizales",0,0,0,0
"Cystofilobasidiales",0,0,0,0
"Tremellales",0,0,0,0
"Ustilaginales",0,0,0,0
"Malasseziales",0,0,0,0
"Exobasidiales",0,0,0,0
"Blastocladiales",0,0,0,0
"Spizellomycetales",64.13,0,51.38,53.81
"Rhizophydiales",79.8,73.1,74.33,80.64
"Chytridiales",0,70.89,0,0
"Lobulomycetales",0,0,62.05,59.65
"Rhizophlyctidales",0,53.07,0,0
"Monoblepharidales",0,29.58,0,0
"Zoopagales",93.99,0,0,0
"Mucorales",0,0,0,0
"Basidiobolaceae order incertae sedis",0,0,0,0
"OLI11041",0,0,0,0
"Salpingoecidae order incertae sedis",30.85,25.86,24.78,36.24
"Codonosigidae order incertae sedis",0,0,0,0
"Codosigidae order incertae sedis",0,0,0,0
"Stephanoecidae order incertae sedis",56.84,42.31,58.79,67.31
"Acanthoecidae order incertae sedis",72.79,0,0,0
"Rozella order incertae sedis",0,0,0,0
"Paramicrosporidium order incertae sedis",0,0,0,0
"Pirum order incertae sedis",0,0,0,0
"Nucleariidae order incertae sedis",0,0,0,0
"Dermocystida",0,0,0,0
"Ministeria order incertae sedis",0,0,0,0
"Marine Group",0,0,0,0
"AT4-11",0,0,0,0
"Andalucia order incertae sedis",0,0,0,0
"Rhynchopus order incertae sedis",0,0,0,0
"Dysnectes order incertae sedis",0,0,0,0
"Carpediemonas order incertae sedis",0,0,0,0
"Oxymonadida",85.79,79.54,96.32,70.88
"Trimastix order incertae sedis",0,0,0,0
"Paratrimastix order incertae sedis",0,0,0,0
"Piroplasmorida",0,0,0,0
"Eugregarinorida",0,0,0,60.2
"Archigregarinorida",0,0,0,0
"Cryptosporidium order incertae sedis",0,0,0,0
"Eimeriorina",0,0,0,0
"Gymnodiniphycidae",0,0,0,0
"Prorocentrales",0,0,0,0
"Dinophyceae incertae sedis",0,0,0,0
"Dinophysiales",72.57,0,0,0
"SL163A10",0,0,0,0
"D244",74.77,0,0,0
"B7",0,0,0,0
"Gonyaulacales",0,0,0,0
"Podolampadaceae order incertae sedis",0,0,0,0
"Euplotia",0,0,0,0
"Hypotrichia",0,0,0,0
"Oligotrichia",79.07,0,0,0
"Choreotrichia",75.83,74.76,0,0
"Protohypotrichia",0,0,0,0
"Licnophoria",0,0,0,0
"Protocruzia order incertae sedis",0,0,0,0
"Mesodiniidae order incertae sedis",0,0,0,0
"Armophorida",0,0,0,0
"Cariaco Basin group 1",0,0,0,0
"Anigsteinia order incertae sedis",0,0,0,0
"Eufolliculina order incertae sedis",0,0,0,0
"Scuticociliatia",0,63.14,64.86,66.66
"Apostomatia",45.87,0,0,0
"Peritrichia",0,0,0,0
"Peniculia",0,0,0,0
"Cryptocaryon order incertae sedis",0,0,0,0
"Placus order incertae sedis",0,0,0,0
"Platyophryida",0,0,0,0
"Cyrtolophosidida",0,0,0,0
"Plagiopylida",0,0,0,0
"Odontostomatida",0,0,0,0
"Suctoria",0,0,0,0
"Zosterodasys order incertae sedis",0,0,0,0
"Colponema order incertae sedis",0,0,0,0
"Chromera order incertae sedis",0,0,0,0
"Syndiniales Group II",64.95,0,0,0
"Syndiniales Group I",0,61.81,0,0
"Syndiniales Group III",0,0,0,23.22
"Syndiniales Group V",0,0,0,0
"Hematodinium order incertae sedis",0,0,0,0
"Amoebophrya order incertae sedis",0,0,0,0
"Duboscquella order incertae sedis",0,0,0,0
"NOR26",0,0,0,0
"Minorisa order incertae sedis",0,0,0,0
"Massisteria order incertae sedis",0,0,0,0
"Maullinia order incertae sedis",0,0,0,0
"Phagomyxa order incertae sedis",0,0,0,0
"Spongomonadida",0,54.73,51.32,0
"Marimonadida",0,76.45,75.21,0
"p15D09",76.62,0,0,75.23
"Novel Clade 3",0,70.67,69.34,0
"Nudifila order incertae sedis",0,0,0,0
"Euglyphida",0,0,0,0
"Thaumatomonadida",0,0,0,0
"Thecofilosea incertae sedis",67.12,0,0,0
"DSGM-50",0,81.93,0,0
"BOLA322",98.66,65.98,0,68.67
"NIF-3A7",0,0,0,0
"Metopion order incertae sedis",0,0,0,0
"Vampyrellidae order incertae sedis",83.06,79.09,76.88,75.16
"Cercomonadidae order incertae sedis",0,0,0,0
"Glissomonadida",0,0,0,0
"Minchinia order incertae sedis",0,0,0,0
"Nassellaria",0,0,0,0
"Spumellaria",0,51.7,0,0
"Chaunocanthida",85.99,63.48,56.24,0
"Arthracanthida",0,0,0,0
"Holocanthida",0,0,0,0
"Acantharea Group VI",85.13,0,0,0
"Acantharea Group I",98.21,0,0,0
"Acantharea Group II",73.62,0,0,0
"HE001005.112",71.38,70.32,80.5,71.44
"D2P04F01",74.28,74.56,74.88,76.2
"Amphitremida",47.36,0,52.27,41.73
"PW19",80.2,0,80.92,81.03
"TAGIRI-17",71.43,0,0,0
"TAGIRI-15",0,61.24,64.17,0
"D52",0,0,0,0
"AI5F15RM1E10",83.59,74.83,83.06,84.06
"Thraustochytriaceae order incertae sedis",0,0,0,0
"Labyrinthulaceae order incertae sedis",0,0,0,0
"Pythium order incertae sedis",0,0,0,0
"Phytophthora order incertae sedis",0,0,0,0
"Aphanomyces order incertae sedis",0,0,0,0
"Olpidiopsis order incertae sedis",0,0,0,0
"Halodaphnea order incertae sedis",0,0,0,0
"Bicosoecida",0,57.22,65.3,68.43
"Hyphochytriales",0,0,0,0
"Fragilariales",0,0,0,0
"Coscinodiscus order incertae sedis",0,0,0,0
"Actinoptychus order incertae sedis",0,0,0,0
"Actinocyclus order incertae sedis",0,0,0,0
"CCMP2297",0,0,0,0
"Navicula order incertae sedis",0,0,0,0
"Amphora order incertae sedis",0,0,0,0
"Sellaphora order incertae sedis",0,0,0,0
"Rhaphoneis order incertae sedis",0,0,0,0
"Asterionellopsis order incertae sedis",0,0,0,0
"Haslea order incertae sedis",0,0,0,0
"Chromulinales",0,0,0,0
"LG21-05",0,0,0,0
"LG01-09",0,0,0,0
"I76",63.09,64,66.04,61.58
"E222",0,66.85,0,0
"Chattonellales",0,67.58,74.07,62.41
"Phaeothamniales",0,0,0,0
"Bolidomonas order incertae sedis",0,0,0,0
"Vannellida",0,0,0,0
"Flabellinia",91.7,0,0,0
"Euamoebida",79.38,70.96,68.06,66.22
"Leptomyxida",0,0,0,0
"Protosporangium order incertae sedis",0,0,0,0
"Acanthocystidae order incertae sedis",0,0,0,0
"Heterophryidae order incertae sedis",0,0,0,0
"Palpitomonas order incertae sedis",0,0,0,0
"Amastigomonas order incertae sedis",0,0,0,0
"Rigifilida",38.85,41.54,41.54,43.05
"Chelonemonas order incertae sedis",0,0,0,0
"Ancyromonadida order incertae sedis",0,0,0,0
"Apusomonas order incertae sedis",0,0,0,0
"NAMAKO-2",76.81,77.07,77.49,69.51
"Subulatomonas order incertae sedis",0,0,0,0
"Mantamonas order incertae sedis",0,0,0,0
"Catenulidae",0,0,0,0
"Prosorhynchoides family incertae sedis",0,0,0,0
"Kalyptorhynchia",0,0,0,0
"Neodalyellida",0,0,0,0
"Dalyellioida",0,0,0,0
"Typhloplanoida",0,0,0,0
"Opheliidae",0,67.26,69.28,66.36
"Orbiniidae",0,45.31,43.33,0
"Paraonidae",88.45,83.17,88.86,73.26
"Harrimaniidae",98.54,0,0,0
"Ptychoderidae",0,0,0,0
"Priapulidae",0,0,0,0
"Nemertodermatidae",38.8,0,0,0
"Dactylopodolidae",0,0,0,0
"Barentsiidae",0,0,0,0
"Rhopaluridae",0,0,0,0
"Ascobolaceae",0,0,0,0
"Cystofilobasidiaceae",0,0,0,0
"Malasseziales incertae sedis",0,0,0,0
"Basidiobolaceae",0,0,71.12,61.25
"Salpingoecidae",0,0,0,0
"Codonosigidae",0,0,0,0
"Codosigidae",0,0,0,0
"Stephanoecidae",0,0,0,0
"Acanthoecidae",0,70.33,0,0
"Rozella family incertae sedis",0,0,0,0
"Paramicrosporidium family incertae sedis",0,60.34,58.04,0
"Pirum family incertae sedis",0,0,0,0
"Nucleariidae",0,0,0,0
"Rhinosporideacae",0,0,0,0
"Ministeria family incertae sedis",0,0,0,0
"Andalucia family incertae sedis",0,0,0,0
"Rhynchopus family incertae sedis",0,0,0,0
"Dysnectes family incertae sedis",0,0,0,0
"Carpediemonas family incertae sedis",0,0,0,0
"Dinenympha family incertae sedis",0,0,0,0
"Trimastix family incertae sedis",0,0,0,0
"Paratrimastix family incertae sedis",0,0,0,0
"Lankesteria family incertae sedis",84.81,0,0,72.35
"Pterospora family incertae sedis",0,0,0,0
"Selenidium family incertae sedis",0,0,0,0
"Cryptosporidium family incertae sedis",0,0,0,0
"Eimeria family incertae sedis",0,0,0,0
"Sarcocystis family incertae sedis",0,0,0,0
"Margolisiella family incertae sedis",0,0,0,0
"Goussia family incertae sedis",0,0,0,0
"Rhytidocystis family incertae sedis",0,0,0,0
"Suessiaceae",89.63,0,0,0
"SCM27C9",0,0,0,0
"Prorocentrum family incertae sedis",0,0,0,0
"Exuviaella family incertae sedis",0,0,0,0
"Azadinium family incertae sedis",0,0,0,0
"Halostylodinium family incertae sedis",0,0,0,0
"Sabulodinium family incertae sedis",0,0,0,0
"Madanidinium family incertae sedis",0,0,0,0
"Sinophysis family incertae sedis",89.24,0,0,0
"Neoceratium family incertae sedis",0,0,0,0
"Podolampadaceae",0,0,0,0
"Euplotes family incertae sedis",0,0,0,0
"Discocephalus family incertae sedis",0,0,0,0
"Aspidisca family incertae sedis",0,0,0,43.42
"Diophrys family incertae sedis",63.07,69.67,71.35,74.68
"Paradiophrys family incertae sedis",0,0,0,0
"Pseudokeronopsis family incertae sedis",0,0,0,0
"Holosticha family incertae sedis",0,0,0,0
"Amphisiella family incertae sedis",0,0,0,0
"Arcuseries family incertae sedis",0,0,0,0
"Uronychia family incertae sedis",0,0,0,0
"Protogastrostyla family incertae sedis",80.17,0,0,0
"Apokeronopsis family incertae sedis",0,0,0,0
"Pseudoamphisiella family incertae sedis",0,0,0,0
"Epiclintes family incertae sedis",0,0,0,0
"Tunicothrix family incertae sedis",0,0,0,0
"Spirotrachelostyla family incertae sedis",0,0,0,0
"Trachelostyla family incertae sedis",0,0,0,0
"Strombidium family incertae sedis",0,0,0,0
"Strombidinopsis family incertae sedis",0,0,0,0
"Pelagostrobilidium family incertae sedis",0,0,0,0
"Licnophora family incertae sedis",0,0,0,0
"Protocruzia family incertae sedis",0,0,0,0
"Mesodiniidae",0,0,0,0
"Metopus family incertae sedis",0,0,0,0
"Anigsteinia family incertae sedis",0,0,0,0
"Eufolliculina family incertae sedis",0,0,0,0
"Histiobalantium family incertae sedis",0,0,0,0
"Pleuronema family incertae sedis",0,0,0,0
"Philaster family incertae sedis",0,0,0,0
"Homalogastra family incertae sedis",0,0,0,0
"Mesanophrys family incertae sedis",0,0,0,0
"Cyclidium family incertae sedis",34.37,0,0,0
"Paratetrahymena family incertae sedis",0,0,0,0
"Miamiensis family incertae sedis",0,0,0,0
"Cardiostomatella family incertae sedis",0,0,0,0
"Sathrophilus family incertae sedis",0,0,0,0
"Hyalophysa family incertae sedis",0,0,0,0
"Cinetochilum family incertae sedis",0,0,0,0
"Cothurnia family incertae sedis",0,0,0,0
